"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.9","11.9","142.5","121","716","0","57"
"2","4.9","21.4","111.6","252","1166","31","57"
"3","6.9","30.9","105.9","295","1314","30","57"
"4","8.8","40.3","105.2","301","1334","29","60"
"5","10.8","49.7","106.8","287","1288","30","64"
"6","12.9","59.3","105.9","295","1314","29","67"
"7","15.3","71.3","106.3","291","1302","29","82"
"8","17.4","80.7","106.7","288","1291","29","87"
"9","19.4","90.0","107.5","282","1269","30","91"
"10","21.4","99.3","107.5","282","1269","30","94"
"11","23.3","108.3","108.5","274","1243","29","96"
"12","25.8","119.7","111.8","250","1161","27","98"
"13","27.9","128.5","111.8","250","1161","27","98"
"14","29.8","137.3","113.1","242","1132","27","98"
"15","32.3","148.6","112.5","246","1146","28","98"
"16","34.3","157.4","112.5","246","1146","28","98"
"17","36.8","168.6","114.0","236","1113","27","99"
"18","38.8","177.4","114.0","236","1113","27","100"
"19","40.8","186.2","112.8","244","1139","28","101"
"20","43.3","197.4","114.1","236","1110","28","103"
"21","45.3","206.1","114.1","236","1110","28","104"
"22","47.8","217.5","111.9","250","1159","27","108"
"23","49.8","226.2","111.9","250","1159","27","110"
"24","51.8","234.9","113.8","237","1117","27","111"
"25","54.3","245.8","115.6","227","1079","28","112"
"26","56.4","254.5","115.5","227","1081","27","113"
"27","58.8","265.7","113.9","237","1115","27","114"
"28","60.8","274.3","113.9","237","1115","27","114"
"29","63.3","285.4","115.0","230","1092","27","114"
"30","65.3","294.0","115.0","230","1092","27","115"
"31","67.3","302.6","115.1","230","1089","27","115"
"32","69.8","313.6","115.6","227","1079","27","115"
"33","71.8","322.1","115.6","227","1079","27","116"
"34","74.3","333.1","116.0","224","1071","27","116"
"35","76.3","341.6","116.0","224","1071","27","116"
"36","78.3","350.1","116.4","222","1063","27","116"
"37","80.8","361.0","116.7","220","1057","27","117"
"38","82.8","369.4","117.3","217","1046","27","117"
"39","85.3","380.2","117.4","216","1044","26","117"
"40","87.3","388.7","117.6","215","1040","27","117"
"41","89.8","399.7","115.3","228","1085","27","118"
"42","91.8","408.2","115.3","228","1085","27","119"
"43","94.3","419.0","117.9","214","1034","27","119"
"44","96.3","427.3","117.9","214","1034","27","120"
"45","98.3","435.9","118.7","209","1020","27","120"
"46","100.8","446.9","116.2","223","1067","28","120"
"47","102.8","455.5","114.2","235","1108","27","120"
"48","105.3","466.4","116.7","220","1057","27","121"
"49","107.3","474.7","116.7","220","1057","27","121"
"50","109.8","485.4","118.5","210","1023","26","120"
"51","111.8","493.9","118.5","210","1023","26","120"
"52","114.3","504.9","114.7","232","1098","27","121"
"53","116.3","513.5","114.7","232","1098","27","121"
"54","118.3","522.0","116.3","222","1065","27","122"
"55","120.8","532.8","116.7","220","1057","27","122"
"56","122.8","541.3","118.3","211","1027","27","122"
"57","125.3","552.2","115.7","226","1077","27","122"
"58","127.3","560.7","115.7","226","1077","27","123"
"59","129.8","571.7","116.4","222","1063","27","124"
"60","131.8","580.3","116.4","222","1063","27","124"
"61","133.8","588.9","116.1","224","1069","28","124"
"62","136.3","599.8","115.9","225","1073","27","124"
"63","138.3","608.4","115.9","225","1073","27","124"
"64","140.8","619.2","116.9","219","1054","26","125"
"65","142.8","627.9","116.9","219","1054","26","125"
"66","145.3","638.9","114.4","234","1104","27","126"
"67","147.3","647.4","114.4","234","1104","27","126"
"68","149.8","658.2","117.1","218","1050","26","126"
"69","151.8","666.9","117.1","218","1050","26","126"
"70","153.8","675.6","115.2","229","1087","28","126"
"71","156.3","686.5","116.2","223","1067","26","127"
"72","158.3","695.1","116.2","223","1067","26","127"
"73","160.8","706.1","115.4","228","1083","27","128"
"74","162.8","714.7","115.4","228","1083","27","128"
