"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.7","11.1","144.2","117","701","0","68"
"2","4.7","20.3","114.0","236","1113","31","68"
"3","7.2","31.8","111.2","255","1176","29","69"
"4","9.2","40.4","115.1","230","1089","28","69"
"5","11.2","49.3","115.1","230","1089","28","72"
"6","13.2","58.2","112.6","245","1143","28","76"
"7","15.7","69.4","113.6","239","1121","28","81"
"8","17.7","78.2","113.6","239","1121","28","85"
"9","20.2","89.5","112.7","245","1141","28","91"
"10","22.2","98.2","114.2","235","1108","28","94"
"11","24.2","106.7","114.2","235","1108","28","95"
"12","26.7","117.8","114.6","233","1100","27","96"
"13","28.7","126.5","114.6","233","1100","27","95"
"14","31.2","137.6","114.7","232","1098","26","95"
"15","33.2","146.2","114.7","232","1098","26","95"
"16","35.2","154.8","114.5","233","1102","27","95"
"17","37.7","165.8","116.1","224","1069","27","96"
"18","39.7","174.4","116.1","224","1069","27","97"
"19","42.2","185.4","115.6","227","1079","27","100"
"20","44.2","194.0","115.6","227","1079","27","101"
"21","46.2","202.8","116.2","223","1067","27","102"
"22","48.7","214.0","113.2","241","1130","28","104"
"23","50.7","222.8","113.2","241","1130","28","105"
"24","52.7","231.6","113.3","241","1128","28","106"
"25","55.2","242.8","113.4","240","1126","28","107"
"26","57.2","251.4","113.4","240","1126","28","108"
"27","59.2","260.2","114.5","233","1102","28","109"
"28","61.7","271.3","114.4","234","1104","28","109"
"29","63.7","280.0","114.4","234","1104","28","111"
"30","65.7","288.7","114.6","233","1100","28","111"
"31","68.2","299.8","114.7","232","1098","28","112"
"32","70.2","308.4","114.7","232","1098","28","113"
"33","72.2","317.1","115.1","230","1089","28","113"
"34","74.7","328.0","115.3","228","1085","27","113"
"35","76.7","336.7","115.3","228","1085","27","113"
"36","78.7","345.3","115.8","225","1075","28","113"
"37","81.2","356.2","115.6","227","1079","27","114"
"38","83.2","364.8","115.3","228","1085","27","114"
"39","85.7","375.8","116.2","223","1067","28","115"
"40","87.7","384.4","116.2","223","1067","28","115"
"41","89.7","393.0","115.6","227","1079","28","116"
"42","92.2","404.0","115.2","229","1087","28","117"
"43","94.2","412.7","115.2","229","1087","28","117"
"44","96.2","421.3","114.6","233","1100","28","118"
"45","98.2","429.8","115.9","225","1073","28","118"
"46","100.7","440.9","115.7","226","1077","29","118"
"47","102.7","449.6","114.4","234","1104","29","119"
"48","104.7","458.3","114.4","234","1104","29","119"
"49","106.7","467.0","115.3","228","1085","29","119"
"50","108.7","475.5","115.6","227","1079","29","120"
"51","111.2","486.5","115.3","228","1085","29","120"
"52","113.2","495.1","116.5","221","1061","29","120"
"53","115.2","503.7","116.5","221","1061","29","120"
"54","117.2","512.3","116.2","223","1067","28","121"
"55","119.7","523.5","114.1","236","1110","28","121"
"56","121.7","532.2","113.7","238","1119","29","121"
"57","123.7","540.9","113.7","238","1119","29","121"
"58","125.7","549.4","115.9","225","1073","28","122"
"59","127.7","557.9","117.1","218","1050","29","122"
"60","130.2","568.8","117.3","217","1046","28","123"
"61","132.2","577.5","115.0","230","1092","28","123"
"62","134.2","586.2","115.0","230","1092","28","123"
"63","136.7","597.1","116.5","221","1061","27","123"
"64","138.7","605.7","116.4","222","1063","28","123"
"65","140.7","614.3","116.4","222","1063","28","123"
"66","143.2","625.3","116.1","224","1069","27","123"
"67","145.2","633.8","116.1","224","1069","27","124"
"68","147.2","642.3","116.5","221","1061","27","124"
"69","149.2","650.9","116.1","224","1069","28","124"
"70","151.7","661.8","116.7","220","1057","28","124"
"71","153.7","670.4","116.7","220","1057","28","124"
