"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.7","11.5","140.3","127","736","0","62"
"2","4.7","20.9","110.4","260","1195","30","62"
"3","7.2","32.4","107.1","285","1280","29","64"
"4","9.2","41.1","110.1","262","1202","27","68"
"5","11.7","52.4","113.5","239","1123","26","72"
"6","14.2","63.6","112.8","244","1139","26","79"
"7","16.2","72.2","112.8","244","1139","26","80"
"8","18.7","83.4","112.9","243","1137","26","89"
"9","20.7","92.1","112.9","243","1137","26","90"
"10","23.2","103.2","114.3","234","1106","26","92"
"11","25.7","114.5","112.6","245","1143","26","95"
"12","27.7","123.1","112.6","245","1143","26","95"
"13","30.2","134.2","113.5","239","1123","26","95"
"14","32.7","145.2","114.7","232","1098","26","95"
"15","34.7","153.8","114.7","232","1098","26","97"
"16","37.2","164.7","115.4","228","1083","25","98"
"17","39.7","175.7","115.7","226","1077","26","101"
"18","41.7","184.1","115.7","226","1077","26","103"
"19","44.2","195.0","116.2","223","1067","25","103"
"20","46.7","206.1","115.1","230","1089","25","104"
"21","49.2","217.1","115.0","230","1092","26","105"
"22","51.2","225.6","115.0","230","1092","26","105"
"23","53.7","236.6","115.6","227","1079","26","105"
"24","56.2","247.6","114.8","231","1096","25","106"
"25","58.7","258.5","114.7","232","1098","26","107"
"26","60.7","267.1","114.7","232","1098","26","108"
"27","63.2","277.9","115.9","225","1073","26","109"
"28","65.7","288.8","115.8","225","1075","25","110"
"29","67.7","297.3","115.8","225","1075","25","110"
"30","70.2","308.5","115.9","225","1073","26","111"
"31","72.7","319.6","114.2","235","1108","25","112"
"32","74.7","328.1","114.2","235","1108","25","114"
"33","77.2","339.0","116.2","223","1067","26","114"
"34","79.2","347.4","116.2","223","1067","26","115"
"35","81.7","358.4","116.8","220","1055","26","115"
"36","84.2","369.4","115.6","227","1079","26","116"
"37","86.2","377.9","115.6","227","1079","26","116"
"38","88.7","388.9","115.2","229","1087","26","116"
"39","91.2","399.8","116.0","224","1071","26","116"
"40","93.2","408.4","116.0","224","1071","26","116"
"41","95.7","419.5","114.2","235","1108","26","116"
"42","97.7","428.1","114.2","235","1108","26","116"
"43","100.2","439.1","116.1","224","1069","26","117"
"44","102.2","447.7","116.1","224","1069","26","117"
"45","104.7","458.5","116.8","220","1055","26","117"
"46","106.7","467.0","116.8","220","1055","26","117"
"47","109.2","478.0","115.9","225","1073","26","118"
"48","111.2","486.5","115.9","225","1073","26","118"
"49","113.7","497.5","113.9","237","1115","26","119"
"50","115.7","506.4","113.9","237","1115","26","119"
"51","118.2","517.3","112.7","245","1141","27","119"
"52","120.7","528.2","115.8","225","1075","26","120"
"53","122.7","536.7","115.8","225","1075","26","120"
"54","125.2","547.8","114.0","236","1113","26","121"
"55","127.2","556.5","114.0","236","1113","26","121"
"56","129.7","567.6","115.0","230","1092","26","122"
"57","132.2","578.7","114.4","234","1104","26","122"
"58","134.2","587.3","114.4","234","1104","26","123"
"59","136.7","598.4","114.1","236","1110","26","123"
"60","138.7","607.0","114.1","236","1110","26","124"
"61","141.2","618.1","114.4","234","1104","26","124"
"62","143.2","626.7","114.1","236","1110","26","124"
"63","145.7","637.7","115.2","229","1087","26","125"
"64","148.2","648.6","115.6","227","1079","26","125"
"65","150.2","657.2","115.6","227","1079","26","125"
"66","152.7","668.1","115.3","228","1085","26","125"
"67","155.2","679.1","114.7","232","1098","26","125"
"68","157.2","687.8","114.7","232","1098","26","126"
"69","159.7","698.8","115.6","227","1079","26","126"
"70","161.7","707.3","115.6","227","1079","26","126"
"71","164.2","718.3","115.6","227","1079","26","126"
"72","166.2","727.1","114.7","232","1098","26","126"
"73","168.7","738.2","113.7","238","1119","27","126"
"74","170.7","746.9","113.5","239","1123","26","126"
"75","173.2","758.2","114.1","236","1110","27","126"
"76","175.2","766.9","113.4","240","1126","27","126"
"77","177.7","778.2","113.3","241","1128","27","127"
"78","179.7","786.9","113.3","241","1128","27","127"
"79","182.2","798.1","114.1","236","1110","27","128"
"80","184.2","806.8","114.1","236","1110","27","128"
"81","186.7","818.1","112.8","244","1139","27","128"
"82","188.7","826.9","112.8","244","1139","27","129"
"83","191.2","838.2","112.5","246","1146","27","129"
"84","193.2","846.9","112.5","246","1146","27","129"
"85","195.7","858.0","114.5","233","1102","26","129"
"86","197.7","866.7","114.5","233","1102","26","129"
"87","200.2","878.0","112.2","248","1152","27","130"
"88","202.2","886.7","112.2","248","1152","27","129"
"89","204.7","897.8","115.3","228","1085","26","129"
"90","206.7","906.2","115.3","228","1085","26","129"
"91","209.2","917.2","116.2","223","1067","26","129"
"92","211.7","928.3","114.1","236","1110","26","128"
"93","213.7","937.1","114.1","236","1110","26","129"
"94","216.2","948.1","114.4","234","1104","26","129"
"95","218.2","956.7","114.4","234","1104","26","130"
"96","220.7","967.7","114.4","234","1104","26","130"
"97","223.2","978.8","114.4","234","1104","26","130"
"98","225.2","987.6","114.4","234","1104","26","130"
"99","227.7","998.7","113.8","237","1117","27","131"
"100","229.7","1007.3","113.8","237","1117","27","131"
"101","232.2","1018.4","115.1","230","1089","27","131"
"102","234.2","1026.9","115.1","230","1089","27","131"
"103","236.7","1037.8","116.3","222","1065","27","131"
"104","238.7","1046.3","116.3","222","1065","27","131"
"105","241.2","1057.2","115.8","225","1075","26","131"
"106","243.2","1065.7","115.8","225","1075","26","132"
"107","245.7","1076.9","114.5","233","1102","27","132"
"108","247.7","1085.4","114.5","233","1102","27","132"
"109","250.2","1096.3","115.1","230","1089","26","132"
"110","252.7","1107.1","117.3","217","1046","26","132"
"111","254.7","1115.6","117.3","217","1046","26","132"
"112","257.2","1126.5","116.0","224","1071","26","132"
"113","259.2","1135.0","116.0","224","1071","26","132"
"114","261.7","1145.9","117.0","219","1052","26","132"
"115","263.7","1154.5","115.7","226","1077","26","132"
"116","266.2","1165.4","115.5","227","1081","26","132"
"117","268.7","1176.4","115.5","227","1081","27","132"
"118","270.7","1184.8","115.5","227","1081","27","132"
"119","273.2","1195.8","115.9","225","1073","27","132"
"120","275.2","1204.4","115.9","225","1073","27","132"
"121","277.2","1213.1","115.2","229","1087","27","132"
"122","279.7","1224.1","114.7","232","1098","27","132"
"123","281.7","1232.7","115.7","226","1077","28","132"
"124","284.2","1243.8","115.1","230","1089","28","132"
"125","286.2","1252.5","113.7","238","1119","28","132"
"126","288.2","1261.3","113.7","238","1119","28","132"
"127","290.7","1272.5","113.6","239","1121","28","133"
"128","292.7","1281.2","113.6","239","1121","28","134"
"129","294.7","1289.9","113.9","237","1115","27","134"
"130","297.2","1300.9","115.1","230","1089","27","134"
"131","299.2","1309.6","115.1","230","1089","27","134"
"132","301.7","1320.7","114.5","233","1102","27","134"
"133","303.7","1329.3","114.5","233","1102","27","134"
"134","306.2","1340.3","115.1","230","1089","27","134"
"135","308.2","1348.9","115.1","230","1089","27","135"
"136","310.7","1360.0","114.3","234","1106","27","135"
"137","312.7","1368.6","114.3","234","1106","27","134"
"138","315.2","1379.6","114.8","231","1096","26","134"
"139","317.2","1388.2","114.8","231","1096","26","134"
"140","319.7","1399.0","117.4","216","1044","26","134"
"141","321.7","1407.3","117.4","216","1044","26","134"
"142","324.2","1418.2","116.8","220","1055","27","134"
"143","326.2","1426.7","116.8","220","1055","27","133"
"144","328.7","1437.7","116.0","224","1071","27","133"
"145","330.7","1446.3","116.0","224","1071","27","133"
"146","332.7","1455.0","115.2","229","1087","27","133"
"147","335.2","1465.9","116.3","222","1065","27","133"
"148","337.2","1474.4","116.3","222","1065","27","133"
"149","339.7","1485.4","116.1","224","1069","27","133"
"150","341.7","1493.9","116.1","224","1069","27","133"
"151","343.7","1502.6","116.4","222","1063","28","133"
"152","345.7","1511.2","115.6","227","1079","28","133"
"153","348.2","1522.0","115.4","228","1083","28","133"
"154","350.2","1530.3","117.7","215","1038","27","133"
"155","352.7","1540.8","119.8","204","1000","26","133"
"156","355.2","1551.4","119.6","205","1004","26","133"
"157","357.7","1562.2","116.9","219","1054","26","133"
"158","359.7","1570.5","116.9","219","1054","26","133"
"159","362.2","1581.2","118.0","213","1033","26","132"
"160","364.2","1589.6","118.0","213","1033","26","132"
"161","366.7","1600.5","117.8","214","1036","26","132"
"162","369.2","1611.2","117.5","216","1042","25","132"
"163","371.2","1619.6","117.5","216","1042","25","133"
"164","373.7","1630.3","117.8","214","1036","25","133"
"165","376.2","1641.1","117.7","215","1038","26","133"
"166","378.2","1649.5","117.7","215","1038","26","133"
"167","380.7","1660.1","118.0","213","1033","26","133"
"168","382.7","1668.5","119.0","208","1014","26","133"
"169","385.2","1679.3","117.9","214","1034","27","133"
"170","387.7","1690.0","118.0","213","1033","26","133"
"171","389.7","1698.1","118.0","213","1033","26","133"
"172","392.2","1708.6","120.6","200","986","26","133"
"173","394.7","1719.3","118.5","210","1023","26","132"
"174","396.7","1727.9","118.5","210","1023","26","132"
"175","399.2","1738.5","118.9","208","1016","26","132"
"176","401.2","1746.9","118.9","208","1016","26","132"
"177","403.7","1757.5","118.5","210","1023","27","132"
"178","405.7","1765.9","118.6","210","1022","26","132"
"179","408.2","1776.6","118.2","212","1029","27","132"
"180","410.2","1784.9","118.6","210","1022","26","132"
"181","412.7","1795.7","118.6","210","1022","27","132"
"182","414.7","1804.0","118.0","213","1033","27","132"
"183","417.2","1814.8","118.7","209","1020","26","132"
"184","419.2","1823.6","116.8","220","1055","26","132"
"185","421.7","1834.5","114.1","236","1110","27","133"
"186","423.7","1843.0","115.7","226","1077","27","133"
"187","426.2","1854.0","116.1","224","1069","28","133"
"188","428.2","1862.9","116.1","224","1069","28","133"
"189","430.7","1873.9","115.2","229","1087","27","134"
"190","432.7","1882.3","115.2","229","1087","27","134"
"191","434.7","1890.7","117.7","215","1038","27","134"
"192","437.2","1901.6","118.1","212","1031","27","134"
"193","439.7","1912.6","115.1","230","1089","26","134"
"194","441.7","1921.2","115.1","230","1089","26","134"
"195","444.2","1932.0","116.7","220","1057","26","134"
"196","446.2","1940.7","116.7","220","1057","26","134"
"197","448.7","1951.6","114.8","231","1096","27","134"
"198","450.7","1960.2","115.5","227","1081","25","134"
"199","453.2","1971.3","114.5","233","1102","28","135"
"200","455.2","1979.9","114.5","233","1102","28","135"
"201","457.7","1990.8","116.2","223","1067","27","135"
"202","459.7","1999.4","116.5","221","1061","27","135"
"203","462.9","2021.0","116.4","222","1063","27","87"
"204","465.3","2026.7","274.3","17","358","27","87"
"205","467.9","2034.5","211.4","37","427","27","85"
"206","470.3","2044.1","131.9","153","824","27","85"
"207","472.3","2051.9","131.9","153","824","27","87"
"208","474.8","2062.4","120.9","198","981","27","90"
"209","476.8","2070.6","120.9","198","981","27","93"
"210","0.5","3.5","0.0","","","0","95"
"211","2.5","12.5","108.7","273","1237","0","96"
"212","5.0","23.8","113.4","240","1126","27","97"
"213","7.0","32.3","113.4","240","1126","27","97"
"214","9.5","43.5","114.0","236","1113","27","99"
"215","11.5","52.4","114.0","236","1113","27","101"
"216","14.0","63.4","114.8","231","1096","27","103"
"217","16.0","71.9","114.8","231","1096","27","104"
"218","18.5","83.0","114.9","231","1094","27","106"
"219","20.5","91.5","114.9","231","1094","27","107"
"220","23.0","102.5","115.5","227","1081","27","110"
"221","25.0","111.1","115.5","227","1081","27","112"
"222","27.5","122.0","115.4","228","1083","26","113"
"223","29.5","130.7","115.4","228","1083","26","115"
"224","32.0","141.4","115.4","228","1083","26","116"
"225","34.5","152.3","116.8","220","1055","26","117"
"226","36.5","161.1","116.8","220","1055","26","117"
"227","39.0","172.2","113.2","241","1130","27","117"
"228","41.0","180.8","113.2","241","1130","27","117"
"229","43.5","191.7","115.7","226","1077","26","119"
"230","45.5","200.3","115.7","226","1077","26","119"
"231","48.0","211.4","115.4","228","1083","26","120"
"232","50.0","219.8","115.4","228","1083","26","121"
"233","52.5","230.8","116.0","224","1071","26","122"
"234","54.5","239.3","115.8","225","1075","26","123"
"235","57.0","250.4","115.7","226","1077","27","124"
"236","59.0","259.0","115.0","230","1092","27","125"
"237","61.5","270.0","114.8","231","1096","27","126"
"238","63.5","278.6","115.8","225","1075","27","127"
"239","66.0","289.5","115.6","227","1079","26","127"
"240","68.5","300.5","115.7","226","1077","26","127"
"241","70.5","309.0","115.7","226","1077","26","127"
"242","73.0","320.0","115.7","226","1077","26","128"
