"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.0","12.0","146.0","112","687","0","73"
"2","5.0","20.7","115.9","225","1073","29","73"
"3","7.5","31.9","113.9","237","1115","27","73"
"4","9.5","40.6","113.9","237","1115","27","73"
"5","12.0","51.5","116.2","223","1067","26","77"
"6","14.0","60.0","116.2","223","1067","26","81"
"7","16.5","70.9","116.3","222","1065","26","87"
"8","18.5","79.5","116.3","222","1065","26","91"
"9","21.0","90.3","117.6","215","1040","27","94"
"10","23.0","98.7","117.6","215","1040","27","97"
"11","25.5","109.8","116.3","222","1065","26","97"
"12","27.5","118.4","114.3","234","1106","27","97"
"13","30.0","129.5","115.5","227","1081","26","98"
"14","32.0","137.9","115.2","229","1087","27","98"
"15","34.5","148.7","117.0","219","1052","27","100"
"16","37.0","159.7","115.8","225","1075","26","101"
"17","39.0","168.2","115.8","225","1075","26","102"
"18","41.5","179.1","116.1","224","1069","26","103"
"19","43.5","187.6","116.1","224","1069","26","104"
"20","46.0","198.4","116.0","224","1071","26","105"
"21","48.0","206.9","117.0","219","1052","27","107"
"22","50.5","217.7","116.8","220","1055","27","109"
"23","53.0","228.5","116.9","219","1054","26","110"
"24","55.0","237.0","116.9","219","1054","26","111"
"25","57.5","247.8","117.0","219","1052","26","112"
"26","59.5","256.3","117.0","219","1052","26","112"
"27","62.0","267.0","117.8","214","1036","27","112"
"28","64.0","275.3","117.8","214","1036","27","113"
"29","66.5","286.0","119.0","208","1014","27","113"
"30","68.5","294.4","119.0","208","1014","27","114"
"31","71.0","305.1","118.6","210","1022","26","114"
"32","73.0","313.5","118.6","210","1022","26","114"
"33","75.5","324.2","117.6","215","1040","26","115"
"34","78.0","335.0","117.6","215","1040","26","115"
"35","80.0","343.3","117.6","215","1040","26","116"
"36","82.5","354.1","118.3","211","1027","25","116"
"37","84.5","362.5","117.7","215","1038","26","117"
"38","87.0","373.4","116.6","221","1059","26","117"
"39","89.0","381.7","117.2","217","1048","27","118"
"40","91.5","392.5","118.3","211","1027","26","119"
"41","93.5","400.8","118.4","211","1025","27","119"
"42","96.0","411.4","118.6","210","1022","27","119"
"43","98.5","422.0","119.2","207","1011","26","120"
"44","100.5","430.5","119.2","207","1011","26","120"
"45","103.0","441.2","117.3","217","1046","26","120"
"46","105.0","449.5","117.3","217","1046","26","120"
"47","107.5","460.2","119.1","207","1013","26","120"
"48","109.5","468.5","119.1","207","1013","26","120"
"49","112.0","479.3","117.8","214","1036","27","121"
"50","114.5","490.1","117.0","219","1052","26","121"
"51","116.5","498.5","117.0","219","1052","26","122"
"52","119.0","509.3","117.5","216","1042","26","122"
"53","121.5","520.0","118.4","211","1025","27","122"
"54","123.5","528.3","118.4","211","1025","27","122"
"55","126.0","538.8","119.2","207","1011","26","122"
"56","128.5","549.6","117.7","215","1038","26","122"
"57","130.5","557.9","117.7","215","1038","26","122"
"58","133.0","568.6","117.6","215","1040","25","123"
"59","135.5","579.3","118.5","210","1023","26","123"
"60","137.5","587.6","118.5","210","1023","26","124"
"61","140.0","598.4","117.9","214","1034","26","124"
"62","142.5","609.2","117.7","215","1038","26","124"
"63","144.5","617.5","117.7","215","1038","26","125"
"64","147.0","628.4","116.7","220","1057","26","125"
"65","149.0","636.9","116.7","220","1057","26","125"
"66","151.5","647.9","115.8","225","1075","26","126"
"67","153.5","656.4","115.1","230","1089","27","126"
"68","156.0","667.2","117.3","217","1046","27","126"
"69","158.0","675.7","117.3","217","1046","27","126"
"70","160.5","686.6","117.2","217","1048","27","127"
"71","162.5","695.0","117.2","217","1048","27","128"
"72","165.0","705.5","117.8","214","1036","27","127"
"73","167.0","714.0","119.1","207","1013","26","128"
"74","169.5","724.8","117.3","217","1046","27","128"
"75","171.5","733.2","118.2","212","1029","26","128"
"76","174.0","744.0","117.4","216","1044","27","128"
"77","176.0","752.4","117.1","218","1050","26","128"
"78","178.5","763.1","118.2","212","1029","27","128"
"79","181.0","773.6","119.6","205","1004","26","128"
"80","183.0","782.0","119.6","205","1004","26","128"
"81","185.5","792.9","116.9","219","1054","27","128"
"82","187.5","801.2","116.9","219","1054","27","128"
"83","190.0","812.0","117.6","215","1040","27","129"
"84","192.0","820.3","117.6","215","1040","27","129"
"85","194.5","830.9","119.1","207","1013","26","129"
"86","196.5","839.3","119.3","206","1009","26","129"
"87","199.0","850.0","118.3","211","1027","27","129"
"88","201.0","858.3","118.2","212","1029","26","129"
"89","203.5","869.0","119.1","207","1013","27","129"
"90","205.5","877.4","118.3","211","1027","26","129"
"91","208.0","888.2","118.3","211","1027","26","129"
"92","210.0","896.6","117.3","217","1046","27","130"
"93","212.4","907.3","118.0","213","1033","26","130"
"94","215.0","918.1","117.7","215","1038","27","129"
"95","217.0","926.5","117.7","215","1038","27","129"
"96","219.5","937.1","118.4","211","1025","26","129"
"97","221.5","945.6","118.4","211","1025","26","129"
"98","223.9","956.5","116.2","223","1067","26","130"
"99","226.0","965.0","116.9","219","1054","27","130"
"100","228.5","975.9","116.3","222","1065","27","130"
"101","230.5","984.3","116.3","222","1065","27","130"
"102","232.9","995.1","117.6","215","1040","27","130"
"103","235.0","1003.4","117.6","215","1040","27","131"
"104","237.5","1014.1","119.1","207","1013","27","131"
"105","239.5","1022.4","119.1","207","1013","27","131"
"106","242.0","1033.2","117.6","215","1040","27","131"
"107","244.0","1041.7","117.6","215","1040","27","131"
"108","246.4","1052.6","116.3","222","1065","28","131"
"109","248.5","1061.1","116.3","222","1065","28","131"
"110","250.5","1069.6","117.5","216","1042","27","131"
"111","253.0","1080.4","117.5","216","1042","27","132"
"112","254.9","1088.8","117.7","215","1038","26","132"
"113","257.5","1099.6","116.6","221","1059","26","133"
"114","259.5","1108.0","117.4","216","1044","26","133"
"115","262.0","1118.8","117.9","214","1034","27","133"
"116","264.0","1127.3","117.2","217","1048","27","133"
"117","266.4","1138.1","116.8","220","1055","27","133"
