"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.9","12.1","145.8","113","688","0","66"
"2","5.0","21.2","113.3","241","1128","31","66"
"3","7.0","30.5","110.5","259","1192","30","66"
"4","8.9","39.6","107.4","283","1272","29","66"
"5","11.5","51.2","110.2","262","1200","28","66"
"6","13.4","60.1","110.2","262","1200","28","66"
"7","15.5","68.9","112.0","249","1157","28","66"
"8","17.4","77.6","113.1","242","1132","29","66"
"9","20.0","88.9","113.8","237","1117","28","71"
"10","22.0","97.5","113.8","237","1117","28","71"
"11","24.4","108.2","117.2","217","1048","26","71"
"12","26.4","116.6","117.2","217","1048","26","80"
"13","28.9","127.4","117.9","214","1034","27","89"
"14","30.9","135.9","117.1","218","1050","26","97"
"15","33.5","147.0","115.3","228","1085","27","98"
"16","35.5","155.4","115.3","228","1085","27","98"
"17","38.0","166.4","116.4","222","1063","26","99"
"18","39.9","175.0","115.2","229","1087","27","99"
"19","42.4","186.0","115.5","227","1081","26","101"
"20","44.4","194.5","115.4","228","1083","27","101"
"21","46.9","205.2","115.9","225","1073","26","102"
"22","48.9","213.6","118.4","211","1025","26","104"
"23","51.4","224.2","119.2","207","1011","27","105"
"24","53.9","234.8","119.9","203","998","26","106"
"25","55.9","243.2","119.9","203","998","26","106"
"26","57.9","251.6","118.2","212","1029","26","107"
"27","60.4","262.4","117.9","214","1034","27","108"
"28","62.4","270.9","116.8","220","1055","27","108"
"29","64.9","281.7","117.9","214","1034","27","109"
"30","66.9","290.1","117.9","214","1034","27","110"
"31","69.5","301.0","117.0","219","1052","26","110"
"32","71.4","309.4","117.1","218","1050","27","110"
"33","73.9","320.1","118.2","212","1029","27","110"
"34","75.9","328.4","118.2","212","1029","27","110"
"35","78.4","339.3","118.0","213","1033","26","111"
"36","80.4","347.6","117.1","218","1050","27","111"
"37","82.9","358.3","118.5","210","1023","27","112"
"38","84.9","366.7","118.5","210","1023","27","112"
"39","87.4","377.3","119.1","207","1013","27","113"
