"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.1","3.7","148.8","106","665","0","72"
"2","3.1","12.4","148.8","106","665","0","72"
"3","5.1","21.4","116.0","224","1071","29","71"
"4","7.1","30.5","110.2","262","1200","29","71"
"5","9.6","41.8","112.5","246","1146","27","71"
"6","11.6","50.6","112.5","246","1146","27","71"
"7","14.1","61.7","113.9","237","1115","27","71"
"8","16.1","70.3","113.9","237","1115","27","71"
"9","18.1","79.0","114.7","232","1098","27","75"
"10","20.6","90.0","114.4","234","1104","27","81"
"11","22.6","98.5","115.9","225","1073","26","81"
"12","25.1","109.3","116.8","220","1055","27","81"
"13","27.6","120.3","115.6","227","1079","26","85"
"14","29.6","128.7","115.6","227","1079","26","94"
"15","32.1","139.8","115.1","230","1089","26","101"
"16","34.1","148.3","115.1","230","1089","26","101"
"17","36.6","159.1","115.9","225","1073","26","101"
"18","38.6","167.6","117.4","216","1044","27","103"
"19","41.1","178.4","116.7","220","1057","27","103"
"20","43.1","186.9","116.7","220","1057","27","103"
"21","45.6","197.7","117.0","219","1052","26","103"
"22","48.1","208.4","117.5","216","1042","26","103"
"23","50.1","216.9","117.5","216","1042","26","103"
"24","52.6","227.7","117.3","217","1046","26","106"
"25","54.6","236.1","117.3","217","1046","26","108"
"26","57.1","246.8","117.6","215","1040","26","108"
"27","59.1","255.2","117.6","215","1040","26","108"
"28","61.6","265.8","118.2","212","1029","27","111"
"29","63.6","274.0","119.3","206","1009","26","113"
"30","66.1","284.8","119.8","204","1000","26","113"
"31","68.1","293.4","117.5","216","1042","27","114"
"32","70.6","304.4","115.6","227","1079","27","114"
"33","72.6","313.0","116.0","224","1071","27","114"
"34","75.1","323.9","115.4","228","1083","27","114"
"35","77.1","332.5","116.2","223","1067","27","114"
"36","79.6","343.5","116.0","224","1071","27","114"
"37","81.6","351.9","116.0","224","1071","27","116"
"38","84.1","362.7","116.9","219","1054","27","117"
"39","86.1","371.3","116.9","219","1054","27","117"
"40","88.1","379.9","116.7","220","1057","28","117"
"41","90.6","390.8","117.8","214","1036","28","118"
"42","92.6","399.1","117.8","214","1036","28","118"
"43","95.1","410.0","117.6","215","1040","27","119"
"44","97.1","418.4","117.6","215","1040","27","120"
"45","99.1","426.9","117.5","216","1042","27","120"
"46","101.6","437.8","116.4","222","1063","27","120"
"47","103.6","446.4","116.4","222","1063","27","121"
"48","105.6","454.9","116.3","222","1065","28","121"
"49","108.1","465.7","118.3","211","1027","28","122"
"50","110.1","474.1","118.3","211","1027","28","122"
"51","112.1","482.6","118.2","212","1029","28","123"
"52","114.1","491.2","117.6","215","1040","29","123"
"53","116.6","502.0","116.8","220","1055","28","123"
"54","118.6","510.5","116.8","220","1055","28","124"
"55","120.6","518.9","117.1","218","1050","28","124"
"56","123.1","529.8","116.9","219","1054","27","125"
"57","125.1","538.3","116.9","219","1054","27","125"
"58","127.1","546.8","117.1","218","1050","28","125"
"59","129.6","557.8","116.8","220","1055","28","125"
"60","131.6","566.2","116.8","220","1055","28","125"
"61","133.6","574.7","117.7","215","1038","28","126"
"62","136.1","585.5","117.4","216","1044","28","126"
"63","138.1","593.9","117.4","216","1044","28","127"
"64","140.1","602.3","118.7","209","1020","28","127"
"65","142.6","612.9","119.3","206","1009","27","127"
"66","144.5","621.1","119.3","206","1009","27","127"
"67","147.1","631.7","121.1","197","978","27","126"
"68","149.1","640.0","121.1","197","978","27","126"
"69","151.1","648.5","118.2","212","1029","27","126"
"70","153.6","659.1","119.8","204","1000","27","126"
"71","155.6","667.3","119.8","204","1000","27","126"
"72","158.1","678.0","119.6","205","1004","27","126"
"73","160.1","686.3","117.9","214","1034","27","127"
"74","162.6","696.6","120.5","200","988","26","127"
"75","165.1","707.0","122.0","193","963","26","127"
"76","167.1","715.1","122.0","193","963","26","126"
"77","169.6","725.7","120.8","199","983","27","126"
"78","171.6","733.8","120.8","199","983","27","126"
"79","174.1","744.6","118.3","211","1027","26","126"
"80","176.1","752.9","118.3","211","1027","26","126"
"81","178.6","763.5","117.8","214","1036","26","126"
"82","180.5","771.7","119.5","205","1005","27","126"
"83","183.1","782.3","120.8","199","983","26","126"
"84","185.6","793.0","118.7","209","1020","26","126"
"85","187.6","801.3","118.7","209","1020","26","126"
"86","190.0","811.9","118.8","209","1018","26","127"
"87","192.5","822.6","118.3","211","1027","26","127"
"88","194.6","830.9","118.3","211","1027","26","127"
"89","197.0","841.6","118.7","209","1020","27","128"
"90","199.0","849.8","118.7","209","1020","27","128"
"91","201.6","860.5","119.5","205","1005","25","128"
"92","204.1","871.1","119.4","206","1007","25","128"
"93","206.0","879.4","119.4","206","1007","25","128"
"94","208.6","890.1","118.0","213","1033","26","129"
"95","211.1","900.7","119.1","207","1013","25","129"
"96","213.1","909.0","119.1","207","1013","25","129"
"97","215.5","919.6","118.6","210","1022","26","129"
"98","218.1","930.3","119.2","207","1011","25","129"
"99","220.6","940.9","118.7","209","1020","26","129"
"100","222.5","949.2","118.7","209","1020","26","129"
"101","225.0","959.7","120.3","201","991","26","130"
"102","227.0","967.9","120.3","201","991","26","130"
"103","229.5","978.5","119.9","203","998","26","130"
"104","232.1","988.9","120.9","198","981","26","130"
"105","234.1","997.1","120.9","198","981","26","130"
"106","236.6","1007.8","120.4","201","990","26","129"
"107","238.5","1016.4","118.4","211","1025","26","129"
"108","241.1","1027.2","115.0","230","1092","26","129"
"109","243.6","1037.9","118.6","210","1022","26","129"
"110","245.5","1046.3","118.6","210","1022","26","129"
"111","247.5","1054.7","117.1","218","1050","27","129"
"112","250.0","1065.7","117.8","214","1036","27","129"
