"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.0","3.6","142.1","122","719","0","70"
"2","3.0","12.6","142.1","122","719","0","72"
"3","5.0","22.0","112.0","249","1157","29","73"
"4","7.0","31.3","106.6","289","1294","28","73"
"5","9.5","42.7","110.9","257","1183","28","76"
"6","11.5","51.6","110.9","257","1183","28","84"
"7","14.0","63.0","111.0","256","1180","27","88"
"8","16.0","71.9","111.0","256","1180","27","94"
"9","18.5","83.4","111.8","250","1161","27","99"
"10","20.5","92.2","109.8","264","1209","26","102"
"11","23.0","103.7","111.7","251","1164","26","103"
"12","25.5","115.1","109.8","264","1209","26","104"
"13","27.5","124.0","110.4","260","1195","26","105"
"14","30.0","135.2","112.3","247","1150","26","105"
"15","32.5","146.7","110.5","259","1192","27","107"
"16","34.5","155.6","110.5","259","1192","27","109"
"17","37.0","166.8","113.4","240","1126","26","111"
"18","39.0","175.4","113.4","240","1126","26","112"
"19","41.5","186.9","113.6","239","1121","26","114"
"20","44.0","198.3","110.4","260","1195","26","115"
"21","46.5","209.6","112.4","246","1148","25","117"
"22","48.5","218.3","112.4","246","1148","25","118"
"23","51.0","229.5","112.4","246","1148","26","119"
"24","53.0","238.3","112.4","246","1148","26","120"
"25","55.5","249.6","112.6","245","1143","26","121"
"26","58.0","260.8","111.4","253","1171","25","121"
"27","60.5","272.0","112.6","245","1143","25","122"
"28","62.5","280.8","112.6","245","1143","25","122"
"29","65.0","291.9","113.4","240","1126","27","123"
"30","67.5","303.0","114.6","233","1100","25","123"
"31","69.5","311.6","114.6","233","1100","25","123"
"32","72.0","323.0","111.4","253","1171","25","123"
"33","74.0","331.6","111.4","253","1171","25","123"
"34","76.5","342.9","113.9","237","1115","26","123"
"35","79.0","354.1","112.6","245","1143","26","123"
"36","81.0","363.0","112.6","245","1143","26","124"
"37","83.5","374.4","111.2","255","1176","26","126"
"38","86.0","385.8","111.5","252","1168","26","127"
"39","88.0","394.5","111.5","252","1168","26","128"
"40","90.5","405.7","113.4","240","1126","26","130"
"41","92.5","414.6","113.4","240","1126","26","131"
"42","95.0","426.1","110.2","262","1200","26","132"
"43","97.5","437.3","112.9","243","1137","26","132"
"44","99.5","446.1","112.9","243","1137","26","133"
"45","102.0","457.5","111.9","250","1159","26","133"
"46","104.0","466.4","111.4","253","1171","26","134"
"47","106.5","477.7","111.3","254","1173","26","134"
"48","109.0","489.0","112.2","248","1152","27","135"
"49","111.0","497.7","112.2","248","1152","27","135"
"50","113.5","508.9","112.5","246","1146","26","135"
"51","115.5","517.6","113.1","242","1132","26","135"
"52","118.0","528.8","113.6","239","1121","26","135"
"53","120.5","540.0","113.6","239","1121","26","136"
"54","122.5","548.7","113.6","239","1121","26","136"
"55","125.0","560.0","112.2","248","1152","26","135"
"56","127.0","568.8","112.2","248","1152","26","135"
"57","129.5","580.1","112.2","248","1152","26","135"
"58","132.0","591.4","112.2","248","1152","26","135"
"59","134.0","600.2","112.2","248","1152","26","136"
"60","136.0","609.0","112.4","246","1148","27","136"
"61","138.5","620.2","112.7","245","1141","27","137"
"62","141.0","631.5","112.2","248","1152","26","138"
"63","143.0","640.3","112.2","248","1152","26","137"
"64","145.5","651.7","111.9","250","1159","27","137"
"65","147.5","660.5","111.9","250","1159","27","137"
"66","150.0","671.9","111.9","250","1159","26","137"
"67","152.0","680.6","111.9","250","1159","26","137"
"68","154.5","692.0","112.0","249","1157","26","138"
"69","156.5","700.8","112.0","249","1157","26","138"
"70","159.0","712.1","111.7","251","1164","27","139"
"71","161.0","721.0","111.8","250","1161","26","139"
"72","163.5","732.1","112.6","245","1143","27","140"
"73","166.0","743.2","113.8","237","1117","26","140"
"74","168.0","752.1","113.8","237","1117","26","141"
"75","170.5","763.3","113.0","243","1134","27","141"
"76","172.5","772.1","113.0","243","1134","27","141"
"77","175.0","783.4","112.2","248","1152","27","141"
"78","177.0","792.3","112.2","248","1152","27","141"
"79","179.5","803.5","112.6","245","1143","27","141"
"80","181.5","812.2","112.6","245","1143","27","141"
"81","184.0","823.5","113.0","243","1134","27","141"
"82","186.0","832.1","113.0","243","1134","27","142"
"83","188.5","843.4","113.1","242","1132","27","142"
"84","190.5","852.1","113.1","242","1132","27","143"
"85","193.0","863.2","113.8","237","1117","27","143"
"86","195.0","872.1","113.5","239","1123","26","143"
"87","197.5","883.4","112.4","246","1148","26","143"
"88","199.5","892.3","111.4","253","1171","27","143"
"89","202.0","903.6","111.7","251","1164","27","143"
"90","204.0","912.4","112.5","246","1146","27","143"
"91","206.5","923.6","112.9","243","1137","26","143"
"92","208.5","932.4","112.7","245","1141","27","143"
"93","211.0","943.5","112.8","244","1139","26","143"
"94","213.5","954.7","113.1","242","1132","26","143"
"95","215.5","963.5","113.1","242","1132","26","143"
"96","218.0","974.7","113.3","241","1128","26","144"
"97","220.0","983.4","113.3","241","1128","26","144"
"98","222.5","994.5","113.7","238","1119","26","144"
"99","225.0","1005.6","114.2","235","1108","27","144"
"100","227.0","1014.4","114.2","235","1108","27","144"
"101","229.5","1025.5","113.7","238","1119","27","144"
"102","231.5","1034.2","113.7","238","1119","27","144"
"103","233.5","1043.0","114.1","236","1110","27","144"
"104","236.0","1054.3","112.4","246","1148","27","144"
"105","238.0","1063.1","112.1","248","1155","26","143"
"106","240.5","1074.2","113.7","238","1119","27","143"
"107","242.5","1082.9","113.6","239","1121","27","143"
"108","245.0","1094.1","113.6","239","1121","26","143"
"109","247.0","1102.9","113.5","239","1123","27","144"
"110","249.5","1114.4","111.1","255","1178","27","144"
"111","251.5","1123.1","111.1","255","1178","27","144"
"112","254.0","1134.3","112.7","245","1141","26","144"
"113","256.0","1143.0","113.6","239","1121","27","145"
"114","258.5","1154.3","113.4","240","1126","27","144"
"115","260.5","1163.0","113.4","240","1126","27","144"
"116","263.0","1174.2","112.5","246","1146","27","144"
"117","265.0","1183.0","113.3","241","1128","26","144"
"118","267.5","1194.3","112.8","244","1139","26","144"
"119","269.5","1203.1","112.3","247","1150","27","144"
"120","272.0","1214.3","112.7","245","1141","26","144"
"121","274.0","1223.2","112.2","248","1152","27","144"
"122","276.5","1234.5","112.0","249","1157","27","144"
"123","278.5","1243.2","112.7","245","1141","27","144"
"124","281.0","1254.4","113.4","240","1126","27","144"
"125","283.0","1262.9","113.8","237","1117","26","145"
"126","285.5","1274.1","114.4","234","1104","26","145"
"127","288.0","1285.3","113.0","243","1134","27","145"
"128","290.0","1294.1","113.0","243","1134","27","144"
"129","292.5","1305.5","112.3","247","1150","27","144"
"130","294.5","1314.2","112.3","247","1150","27","144"
"131","297.0","1325.4","113.9","237","1115","26","144"
"132","299.0","1334.2","113.9","237","1115","26","144"
"133","301.5","1345.3","113.2","241","1130","27","145"
"134","303.5","1354.2","113.2","241","1130","27","145"
"135","305.5","1363.0","112.8","244","1139","27","145"
"136","308.0","1374.2","112.8","244","1139","27","145"
"137","310.0","1383.0","112.9","243","1137","27","146"
"138","312.5","1394.2","113.9","237","1115","27","146"
"139","314.5","1402.9","113.9","237","1115","27","146"
"140","317.0","1414.2","112.5","246","1146","26","146"
"141","319.0","1423.0","112.5","246","1146","26","147"
"142","321.5","1434.3","111.5","252","1168","26","147"
"143","324.0","1445.5","112.8","244","1139","27","148"
"144","326.0","1454.2","112.8","244","1139","27","148"
"145","328.5","1465.2","115.3","228","1085","26","148"
"146","330.5","1473.8","115.3","228","1085","26","148"
"147","333.0","1484.9","113.6","239","1121","26","148"
"148","335.0","1493.7","113.6","239","1121","26","147"
"149","337.5","1504.9","113.7","238","1119","27","147"
"150","339.5","1513.7","113.7","238","1119","27","146"
"151","342.0","1525.2","110.4","260","1195","26","146"
