"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.1","3.9","155.7","93","619","0","65"
"2","3.2","12.5","118.7","209","1020","30","64"
"3","5.2","22.0","106.2","292","1305","30","64"
"4","7.1","31.8","102.2","328","1428","29","65"
"5","9.1","41.4","102.2","328","1428","29","67"
"6","11.1","51.0","103.8","313","1377","29","68"
"7","13.1","60.4","104.3","308","1361","28","75"
"8","15.6","72.3","106.7","288","1291","28","87"
"9","17.7","81.7","106.6","289","1294","29","92"
"10","19.6","91.1","106.6","289","1294","29","96"
"11","21.6","100.6","105.5","298","1325","28","98"
"12","23.6","110.1","105.2","301","1334","29","101"
"13","26.1","122.1","106.6","289","1294","28","102"
"14","28.2","131.4","106.6","289","1294","28","103"
"15","30.1","140.6","107.1","285","1280","28","104"
"16","32.1","149.9","108.1","277","1253","28","105"
"17","34.6","161.7","107.9","279","1258","28","106"
"18","36.6","170.8","107.9","279","1258","28","107"
"19","38.7","180.0","108.8","272","1235","28","108"
"20","40.6","189.3","108.9","271","1232","29","109"
"21","43.1","201.1","107.8","279","1261","28","110"
"22","45.1","210.3","108.6","273","1240","29","110"
"23","47.1","219.4","108.6","273","1240","29","111"
"24","49.6","230.8","112.0","249","1157","27","113"
"25","51.6","239.7","112.0","249","1157","27","114"
"26","53.6","248.8","110.6","259","1190","27","115"
"27","56.1","260.4","109.3","268","1222","27","115"
"28","58.1","269.5","109.3","268","1222","27","116"
"29","60.6","281.1","109.7","265","1212","27","117"
"30","62.6","290.1","109.7","265","1212","27","118"
"31","65.1","301.7","109.3","268","1222","27","119"
"32","67.1","310.7","109.3","268","1222","27","120"
"33","69.1","319.8","110.2","262","1200","27","121"
"34","71.6","331.2","109.8","264","1209","27","122"
"35","73.6","340.3","110.4","260","1195","27","123"
"36","76.1","351.6","111.8","250","1161","27","124"
"37","78.1","360.5","111.8","250","1161","27","124"
"38","80.6","371.8","112.5","246","1146","27","125"
"39","82.6","380.6","112.5","246","1146","27","125"
"40","84.6","389.3","112.8","244","1139","28","126"
"41","87.1","400.5","113.1","242","1132","27","126"
"42","89.1","409.2","113.8","237","1117","27","127"
"43","91.6","420.6","112.1","248","1155","27","127"
"44","93.6","429.5","112.1","248","1155","27","127"
"45","96.1","440.8","112.3","247","1150","27","127"
"46","98.1","449.7","112.3","247","1150","27","128"
"47","100.1","458.6","112.0","249","1157","28","128"
"48","102.6","469.8","113.4","240","1126","27","128"
"49","104.6","478.5","113.4","240","1126","27","128"
"50","106.6","487.4","113.2","241","1130","28","129"
"51","109.1","498.7","112.3","247","1150","27","129"
"52","111.1","507.5","112.2","248","1152","27","129"
"53","113.6","518.6","115.1","230","1089","27","130"
"54","115.6","527.1","115.1","230","1089","27","129"
"55","117.6","535.6","115.5","227","1081","28","129"
"56","120.1","546.5","117.3","217","1046","27","130"
"57","122.1","555.3","117.3","217","1046","27","130"
"58","124.1","563.9","113.3","241","1128","28","130"
"59","126.6","574.9","115.0","230","1092","27","131"
"60","128.6","583.4","115.8","225","1075","27","131"
"61","131.1","594.4","116.3","222","1065","27","130"
"62","133.1","603.0","115.9","225","1073","27","131"
"63","135.6","613.9","115.3","228","1085","27","131"
"64","137.6","622.5","115.8","225","1075","26","132"
"65","140.1","633.6","114.1","236","1110","27","132"
"66","142.1","642.3","114.1","236","1110","27","132"
"67","144.6","653.3","114.9","231","1094","27","132"
"68","146.6","662.0","114.9","231","1094","27","132"
"69","148.6","670.6","114.5","233","1102","27","132"
"70","151.1","681.8","114.7","232","1098","27","133"
"71","153.1","690.7","113.4","240","1126","27","133"
"72","155.6","701.7","114.8","231","1096","27","134"
"73","157.6","710.4","114.8","231","1096","27","134"
"74","160.1","721.6","113.6","239","1121","27","135"
"75","162.1","730.4","113.6","239","1121","27","135"
"76","164.6","741.6","113.2","241","1130","26","135"
"77","166.6","750.4","113.2","241","1130","26","135"
