"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.0","3.6","143.3","119","709","0","66"
"2","3.0","12.4","115.3","228","1085","30","69"
"3","5.0","21.2","115.3","228","1085","30","71"
"4","7.0","29.9","112.9","243","1137","28","72"
"5","9.5","40.7","114.3","234","1106","28","75"
"6","11.5","49.4","116.7","220","1057","27","78"
"7","14.0","60.3","115.3","228","1085","26","82"
"8","16.0","68.8","116.3","222","1065","27","86"
"9","18.5","79.7","116.2","223","1067","27","89"
"10","20.5","88.2","116.2","223","1067","27","91"
"11","23.0","99.1","117.0","219","1052","27","95"
"12","25.0","107.5","117.0","219","1052","27","96"
"13","27.5","118.5","115.7","226","1077","27","96"
"14","29.5","127.1","115.7","226","1077","27","97"
"15","32.0","137.9","116.7","220","1057","27","97"
"16","34.0","146.5","116.7","220","1057","27","99"
"17","36.5","157.4","115.4","228","1083","26","100"
"18","38.5","165.9","115.4","228","1083","26","101"
"19","41.0","176.8","117.2","217","1048","27","103"
"20","43.0","185.2","117.2","217","1048","27","105"
"21","45.5","196.1","116.7","220","1057","27","106"
"22","47.5","204.7","116.7","220","1057","27","107"
"23","50.0","215.7","114.8","231","1096","27","108"
"24","52.0","224.3","114.8","231","1096","27","109"
"25","54.0","232.9","115.4","228","1083","27","110"
"26","56.5","243.7","117.8","214","1036","27","110"
"27","58.5","252.1","117.8","214","1036","27","111"
"28","61.0","263.0","117.1","218","1050","27","112"
"29","63.0","271.4","116.9","219","1054","26","112"
"30","65.5","282.2","117.9","214","1034","27","113"
"31","67.5","290.6","117.9","214","1034","27","114"
"32","70.0","301.4","117.9","214","1034","27","114"
"33","72.0","309.9","117.9","214","1034","27","114"
"34","74.5","320.9","115.0","230","1092","27","115"
"35","76.5","329.3","115.0","230","1092","27","115"
"36","78.5","337.8","117.1","218","1050","27","115"
"37","81.0","348.8","117.1","218","1050","28","116"
"38","83.0","357.3","115.9","225","1073","26","116"
"39","85.5","368.3","115.9","225","1073","27","117"
"40","87.5","376.9","115.8","225","1075","27","117"
"41","90.0","387.9","115.0","230","1092","27","118"
"42","92.0","396.5","115.0","230","1092","27","119"
"43","94.5","407.4","116.9","219","1054","27","120"
"44","96.5","416.0","116.9","219","1054","27","120"
"45","99.0","427.0","115.5","227","1081","27","120"
"46","101.0","435.6","115.5","227","1081","27","120"
"47","103.0","444.2","115.6","227","1079","27","121"
"48","105.5","455.2","115.2","229","1087","28","122"
"49","107.5","463.8","115.2","229","1087","28","122"
"50","110.0","474.8","115.5","227","1081","27","124"
"51","112.0","483.4","115.5","227","1081","27","124"
"52","114.0","491.8","116.3","222","1065","28","125"
"53","116.5","502.6","117.4","216","1044","27","125"
"54","118.5","511.0","117.4","216","1044","27","126"
"55","120.5","519.5","118.2","212","1029","27","126"
"56","123.0","530.5","116.9","219","1054","28","126"
"57","125.0","539.1","116.1","224","1069","27","127"
"58","127.5","550.0","116.4","222","1063","27","127"
"59","129.5","558.5","116.4","222","1063","27","127"
"60","131.5","567.1","116.9","219","1054","28","127"
"61","134.0","578.1","115.6","227","1079","28","127"
"62","136.0","586.7","115.6","227","1079","28","128"
"63","138.5","597.6","116.1","224","1069","27","128"
"64","140.5","606.3","116.1","224","1069","27","128"
"65","143.0","617.4","114.7","232","1098","27","128"
"66","145.0","626.0","115.0","230","1092","28","129"
"67","147.0","634.6","115.0","230","1092","28","129"
"68","149.5","645.6","115.2","229","1087","27","129"
"69","151.5","654.1","115.2","229","1087","27","129"
"70","154.0","665.1","116.8","220","1055","27","128"
"71","156.0","673.6","116.8","220","1055","27","129"
"72","158.0","682.1","116.7","220","1057","27","129"
"73","160.5","693.0","116.5","221","1061","27","129"
"74","162.5","701.6","116.5","221","1061","27","129"
"75","165.0","712.6","115.2","229","1087","27","130"
"76","167.0","721.2","115.2","229","1087","27","129"
"77","169.5","732.2","115.6","227","1079","27","129"
"78","171.5","740.7","115.6","227","1079","27","130"
"79","173.5","749.4","116.3","222","1065","27","130"
"80","176.0","760.3","115.4","228","1083","27","130"
"81","178.0","769.0","115.8","225","1075","27","131"
"82","180.5","780.0","115.0","230","1092","28","131"
"83","182.5","788.5","115.0","230","1092","28","131"
"84","184.5","797.1","116.2","223","1067","27","130"
"85","187.0","807.8","117.7","215","1038","28","131"
"86","189.0","816.6","117.7","215","1038","28","131"
"87","191.5","827.5","116.2","223","1067","26","131"
"88","193.5","836.0","116.2","223","1067","26","131"
"89","196.0","846.8","117.6","215","1040","26","132"
"90","198.0","855.2","117.6","215","1040","26","132"
"91","200.5","866.0","117.9","214","1034","26","132"
"92","202.5","874.4","116.6","221","1059","26","132"
"93","205.0","885.2","118.0","213","1033","26","132"
"94","207.0","893.8","117.6","215","1040","26","132"
"95","209.5","904.7","115.7","226","1077","27","132"
"96","211.5","913.3","116.0","224","1071","26","132"
"97","214.0","924.2","115.4","228","1083","27","132"
"98","216.5","935.0","117.5","216","1042","27","132"
"99","218.5","943.5","117.5","216","1042","27","132"
"100","221.0","954.4","116.0","224","1071","27","132"
"101","223.0","963.0","116.0","224","1071","27","131"
"102","225.0","971.5","116.0","224","1071","27","131"
"103","227.5","982.3","115.9","225","1073","27","132"
"104","229.5","990.7","118.0","213","1033","27","132"
"105","232.0","1001.6","116.2","223","1067","27","132"
"106","234.0","1010.4","116.2","223","1067","27","133"
"107","236.5","1021.2","116.3","222","1065","27","133"
"108","238.5","1029.8","116.3","222","1065","27","132"
"109","241.0","1040.7","116.3","222","1065","27","132"
"110","243.0","1049.0","116.3","222","1065","27","132"
"111","245.5","1059.9","117.3","217","1046","26","133"
"112","247.5","1068.3","117.2","217","1048","26","133"
"113","250.0","1079.1","117.2","217","1048","26","133"
"114","252.0","1087.8","116.7","220","1057","26","133"
"115","254.5","1098.7","115.6","227","1079","26","133"
"116","256.5","1107.3","115.9","225","1073","27","133"
"117","259.0","1118.4","114.3","234","1106","27","133"
"118","261.0","1127.0","114.3","234","1106","27","133"
"119","263.5","1137.9","116.1","224","1069","27","133"
"120","265.5","1146.5","116.1","224","1069","27","133"
"121","268.0","1157.5","115.3","228","1085","27","133"
"122","270.0","1166.1","115.3","228","1085","27","133"
"123","272.0","1174.7","115.6","227","1079","27","134"
"124","274.5","1185.8","115.3","228","1085","28","134"
"125","276.5","1194.4","115.3","228","1085","28","134"
"126","278.5","1203.1","115.6","227","1079","28","134"
"127","281.0","1214.2","113.7","238","1119","28","134"
"128","283.0","1222.9","113.7","238","1119","28","135"
"129","285.0","1231.6","115.0","230","1092","28","135"
"130","287.5","1242.6","114.9","231","1094","27","135"
"131","289.5","1251.3","115.0","230","1092","27","135"
"132","292.0","1262.4","115.1","230","1089","28","135"
"133","294.0","1271.1","115.0","230","1092","28","135"
"134","296.0","1279.7","115.0","230","1092","28","135"
"135","298.0","1288.2","115.3","228","1085","28","136"
"136","300.5","1299.2","115.7","226","1077","28","136"
"137","302.5","1307.9","115.7","226","1077","28","136"
"138","304.5","1316.5","114.7","232","1098","28","137"
"139","307.0","1327.2","119.2","207","1011","27","136"
"140","309.0","1335.6","119.2","207","1011","27","136"
"141","311.0","1344.1","117.7","215","1038","28","136"
"142","313.5","1355.0","116.9","219","1054","28","136"
"143","315.5","1363.4","118.4","211","1025","28","136"
"144","317.5","1371.9","118.4","211","1025","28","136"
"145","319.5","1380.5","117.7","215","1038","28","135"
"146","322.0","1391.2","116.3","222","1065","28","135"
"147","324.0","1399.6","117.6","215","1040","27","136"
"148","326.5","1410.3","117.9","214","1034","27","136"
"149","329.0","1421.1","117.4","216","1044","26","136"
"150","331.0","1429.5","117.4","216","1044","26","136"
"151","333.5","1440.2","118.3","211","1027","27","136"
"152","335.5","1448.7","118.3","211","1027","27","136"
"153","338.0","1459.4","117.8","214","1036","26","136"
"154","340.0","1467.8","117.8","214","1036","26","136"
"155","342.5","1478.7","117.6","215","1040","26","136"
"156","344.5","1487.1","116.6","221","1059","26","136"
"157","347.0","1497.9","117.0","219","1052","27","136"
"158","349.5","1508.5","119.7","204","1002","26","136"
"159","351.5","1516.8","119.7","204","1002","26","136"
"160","354.0","1527.4","119.7","204","1002","26","137"
"161","356.0","1535.5","119.7","204","1002","26","137"
"162","358.5","1546.1","120.2","202","993","26","137"
"163","360.5","1554.3","120.2","202","993","26","137"
"164","363.0","1564.8","120.0","203","997","26","136"
"165","365.5","1575.3","120.4","201","990","26","136"
"166","367.5","1583.6","120.4","201","990","26","135"
"167","370.0","1594.1","120.8","199","983","26","135"
"168","372.0","1602.2","120.8","199","983","26","135"
"169","374.5","1612.5","121.5","195","971","26","135"
"170","377.0","1623.1","120.9","198","981","26","135"
"171","379.0","1631.3","120.9","198","981","26","135"
"172","381.5","1641.8","120.4","201","990","26","135"
"173","383.5","1649.9","120.4","201","990","26","135"
"174","386.0","1660.5","121.2","197","976","26","135"
"175","388.5","1671.1","119.6","205","1004","25","134"
"176","390.5","1679.2","119.6","205","1004","25","134"
"177","393.0","1689.7","121.2","197","976","26","135"
"178","395.0","1697.8","121.2","197","976","26","135"
"179","397.5","1708.4","120.9","198","981","26","134"
"180","400.0","1718.8","120.7","199","985","26","135"
"181","402.0","1727.1","120.7","199","985","26","135"
"182","404.5","1737.4","120.5","200","988","26","134"
"183","407.0","1747.8","121.6","195","969","26","134"
"184","409.0","1755.8","121.6","195","969","26","134"
"185","411.4","1766.1","122.5","190","955","26","134"
"186","413.5","1774.2","122.5","190","955","26","134"
"187","416.0","1784.6","122.4","191","956","26","134"
"188","418.5","1794.9","122.5","190","955","26","134"
"189","420.5","1802.9","122.5","190","955","26","134"
"190","423.0","1813.3","123.2","187","944","26","133"
"191","425.4","1823.7","121.2","197","976","26","133"
"192","427.4","1831.9","121.2","197","976","26","133"
"193","430.0","1842.8","117.4","216","1044","27","133"
"194","432.0","1851.1","117.4","216","1044","27","133"
"195","434.4","1861.7","118.6","210","1022","26","133"
"196","437.0","1872.6","116.7","220","1057","26","134"
"197","439.0","1881.0","116.7","220","1057","26","134"
"198","441.5","1891.6","117.8","214","1036","26","134"
"199","443.4","1899.8","118.9","208","1016","26","134"
"200","445.9","1910.3","119.7","204","1002","26","135"
"201","448.5","1920.9","120.3","201","991","25","134"
"202","450.5","1929.3","119.2","207","1011","26","134"
"203","452.9","1940.2","117.8","214","1036","26","134"
"204","455.5","1950.8","118.6","210","1022","26","134"
"205","457.5","1959.1","118.6","210","1022","26","134"
"206","460.0","1969.7","118.7","209","1020","27","134"
"207","461.9","1978.3","118.7","209","1020","27","134"
"208","464.5","1989.0","115.4","228","1083","26","134"
"209","466.5","1997.3","118.1","212","1031","26","134"
"210","468.5","2021.1","313.9","11","338","27","91"
"211","471.0","2026.4","313.9","11","338","27","91"
"212","473.5","2033.0","237.3","26","390","27","89"
"213","476.0","2040.1","189.5","51","477","27","87"
"214","478.5","2047.8","174.0","66","528","27","86"
"215","481.0","2055.9","155.6","93","619","27","90"
"216","483.0","2062.3","155.6","93","619","27","92"
"217","485.5","2070.8","152.8","98","637","27","91"
"218","488.0","2079.6","148.0","108","671","27","91"
"219","490.4","2088.4","143.5","118","707","27","92"
"220","0.7","3.5","116.7","220","1057","0","95"
"221","2.7","12.3","116.7","220","1057","0","96"
"222","4.7","21.2","112.9","243","1137","28","96"
"223","7.2","32.2","113.2","241","1130","27","97"
"224","9.2","40.8","114.2","235","1108","26","98"
"225","11.7","51.6","115.7","226","1077","26","103"
"226","13.7","60.1","116.9","219","1054","26","104"
"227","16.2","71.0","117.7","215","1038","27","107"
"228","18.2","79.5","116.2","223","1067","27","108"
"229","20.7","90.3","116.5","221","1061","26","110"
"230","23.2","101.1","117.8","214","1036","27","111"
"231","25.2","109.6","117.8","214","1036","27","113"
"232","27.7","120.5","115.7","226","1077","26","114"
"233","29.7","128.9","115.7","226","1077","26","116"
"234","32.2","139.8","116.9","219","1054","26","116"
"235","34.2","148.2","116.9","219","1054","26","116"
"236","36.7","159.0","116.8","220","1055","27","117"
"237","38.7","167.6","116.8","220","1055","27","117"
"238","41.2","178.6","115.5","227","1081","27","117"
"239","43.2","187.0","115.5","227","1081","27","117"
"240","45.7","197.9","116.4","222","1063","26","118"
"241","47.7","206.5","116.5","221","1061","27","119"
"242","50.2","217.6","115.3","228","1085","27","120"
"243","52.2","226.2","114.2","235","1108","26","121"
"244","54.7","237.3","114.6","233","1100","26","122"
"245","57.2","248.2","115.6","227","1079","27","122"
"246","59.2","256.8","115.6","227","1079","27","123"
"247","61.7","267.8","115.5","227","1081","26","124"
"248","63.7","276.4","115.5","227","1081","26","124"
"249","66.2","287.4","115.5","227","1081","26","125"
"250","68.2","295.9","115.5","227","1081","26","126"
"251","70.7","306.6","117.8","214","1036","27","126"
"252","72.7","315.2","117.8","214","1036","27","126"
"253","75.2","326.1","116.3","222","1065","27","126"
"254","77.2","334.6","116.3","222","1065","27","126"
"255","79.7","345.6","115.3","228","1085","27","127"
"256","81.7","354.2","115.3","228","1085","27","128"
"257","84.2","365.1","116.4","222","1063","26","128"
"258","86.2","373.6","116.4","222","1063","26","129"
"259","88.7","384.5","115.9","225","1073","26","130"
"260","90.7","393.0","115.9","225","1073","26","130"
"261","93.2","403.7","116.7","220","1057","27","130"
"262","95.2","412.2","117.6","215","1040","25","130"
"263","97.7","423.2","116.2","223","1067","28","131"
"264","100.2","434.1","116.2","223","1067","27","131"
"265","102.2","442.5","116.2","223","1067","27","132"
"266","104.7","453.3","116.7","220","1057","26","132"
"267","106.7","461.7","117.4","216","1044","26","133"
"268","109.2","472.4","117.7","215","1038","26","133"
"269","111.7","483.1","118.0","213","1033","26","134"
"270","113.7","491.6","118.0","213","1033","26","134"
"271","116.2","502.4","117.3","217","1046","26","134"
"272","118.2","510.7","117.3","217","1046","26","134"
"273","120.7","521.7","117.8","214","1036","27","134"
"274","123.2","532.6","116.3","222","1065","26","135"
"275","125.2","540.9","116.3","222","1065","26","135"
"276","127.7","551.6","117.9","214","1034","26","135"
"277","129.7","560.1","117.9","214","1034","26","135"
"278","132.2","570.9","116.9","219","1054","26","135"
"279","134.7","581.7","117.0","219","1052","27","135"
"280","136.7","590.1","117.0","219","1052","27","136"
"281","139.2","600.8","117.5","216","1042","25","136"
"282","141.7","611.4","117.9","214","1034","26","136"
"283","143.7","619.9","117.9","214","1034","26","137"
"284","146.2","630.6","117.2","217","1048","25","137"
"285","148.7","641.3","118.4","211","1025","26","137"
