"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.9","12.0","144.0","117","703","0","64"
"2","4.9","21.0","113.5","239","1123","30","65"
"3","7.4","32.3","112.5","246","1146","27","66"
"4","9.4","40.8","112.5","246","1146","27","66"
"5","11.9","51.7","115.8","225","1075","26","68"
"6","13.9","60.2","115.8","225","1075","26","74"
"7","16.4","71.1","117.2","217","1048","27","85"
"8","18.4","79.7","117.2","217","1048","27","87"
"9","20.4","88.3","115.3","228","1085","27","90"
"10","22.9","99.1","117.7","215","1038","27","92"
"11","24.9","107.4","117.7","215","1038","27","94"
"12","27.4","118.2","117.4","216","1044","26","95"
"13","29.4","126.6","117.4","216","1044","26","94"
"14","31.9","137.1","118.9","208","1016","26","94"
"15","33.9","145.5","119.6","205","1004","26","95"
"16","36.4","156.3","118.5","210","1023","27","96"
"17","38.4","165.0","115.7","226","1077","26","97"
"18","40.9","175.8","115.5","227","1081","27","99"
"19","42.9","184.4","116.8","220","1055","27","100"
"20","45.4","195.4","116.0","224","1071","26","102"
"21","47.9","206.2","116.6","221","1059","26","104"
"22","49.9","214.7","116.6","221","1059","26","105"
"23","52.4","225.5","117.2","217","1048","26","106"
"24","54.4","233.9","117.2","217","1048","26","107"
"25","56.9","244.8","117.2","217","1048","26","108"
"26","59.4","255.5","117.7","215","1038","27","109"
"27","61.4","264.0","117.7","215","1038","27","109"
"28","63.9","274.7","117.4","216","1044","26","110"
"29","66.4","285.4","118.2","212","1029","25","111"
"30","68.4","293.8","118.2","212","1029","25","111"
"31","70.9","304.7","116.8","220","1055","26","111"
"32","72.9","313.0","116.8","220","1055","26","111"
"33","75.4","323.7","117.5","216","1042","26","111"
"34","77.9","334.6","117.5","216","1042","26","112"
"35","80.4","345.4","117.1","218","1050","26","112"
"36","82.4","353.8","117.1","218","1050","26","112"
"37","84.9","364.5","118.4","211","1025","26","112"
"38","86.9","372.7","118.4","211","1025","26","113"
"39","89.4","383.4","119.8","204","1000","26","114"
"40","91.4","391.9","118.5","210","1023","26","115"
"41","93.9","402.7","116.5","221","1061","26","115"
"42","96.4","413.4","117.7","215","1038","26","115"
"43","98.4","421.9","117.7","215","1038","26","116"
"44","100.9","432.6","117.4","216","1044","26","116"
"45","103.4","443.4","117.5","216","1042","26","117"
"46","105.4","451.7","117.5","216","1042","26","117"
"47","107.9","462.5","118.7","209","1020","26","118"
"48","110.4","473.3","117.2","217","1048","26","118"
"49","112.4","481.8","117.2","217","1048","26","118"
"50","114.9","492.5","116.3","222","1065","27","119"
"51","116.9","500.8","117.8","214","1036","25","119"
"52","119.4","511.7","118.3","211","1027","26","119"
"53","121.9","522.8","114.6","233","1100","26","119"
"54","123.9","531.2","114.6","233","1100","26","119"
"55","126.4","542.1","116.9","219","1054","26","120"
"56","128.9","552.9","116.8","220","1055","26","120"
"57","130.9","561.2","116.8","220","1055","26","119"
"58","133.4","571.9","118.9","208","1016","26","120"
"59","135.4","580.4","118.4","211","1025","27","120"
"60","137.9","591.2","116.2","223","1067","26","120"
"61","139.9","599.6","117.7","215","1038","27","119"
"62","142.4","610.7","114.8","231","1096","28","120"
"63","144.4","619.2","114.8","231","1096","28","120"
"64","146.9","630.0","117.1","218","1050","26","120"
"65","148.9","638.8","117.1","218","1050","26","121"
"66","151.4","649.6","116.6","221","1059","27","122"
"67","153.4","658.1","116.6","221","1059","27","122"
"68","155.4","666.5","117.6","215","1040","28","122"
"69","157.9","677.4","117.0","219","1052","28","122"
"70","159.9","685.9","117.0","219","1052","28","122"
"71","162.4","696.7","117.3","217","1046","27","123"
"72","164.4","705.1","117.3","217","1046","27","123"
"73","166.4","713.6","118.0","213","1033","27","123"
"74","168.9","724.4","117.3","217","1046","28","124"
"75","170.9","733.0","116.9","219","1054","27","124"
"76","173.4","743.9","116.6","221","1059","27","124"
"77","175.4","752.4","116.6","221","1059","27","124"
"78","177.4","760.7","117.5","216","1042","27","124"
"79","179.9","771.7","116.0","224","1071","27","125"
"80","181.9","780.2","116.0","224","1071","27","125"
"81","184.4","790.9","118.4","211","1025","27","125"
"82","186.4","799.3","118.4","211","1025","27","125"
"83","188.4","807.7","118.9","208","1016","27","125"
"84","190.9","818.5","117.7","215","1038","28","125"
"85","192.9","827.1","117.7","215","1038","28","125"
"86","194.9","835.4","116.8","220","1055","28","126"
"87","196.9","843.8","118.4","211","1025","28","126"
"88","199.4","854.6","118.6","210","1022","29","125"
"89","201.4","863.1","116.9","219","1054","29","126"
"90","203.4","871.5","116.9","219","1054","29","126"
"91","205.4","879.9","117.9","214","1034","28","126"
"92","207.4","888.3","120.0","203","997","28","127"
"93","209.9","899.0","119.9","203","998","28","127"
"94","211.9","907.4","119.9","203","998","28","127"
"95","213.9","916.0","117.5","216","1042","28","127"
"96","216.4","926.6","119.2","207","1011","27","127"
"97","218.4","934.9","119.2","207","1011","27","127"
"98","220.9","945.7","118.3","211","1027","26","127"
"99","222.9","954.2","118.3","211","1027","26","127"
"100","225.4","965.0","117.4","216","1044","27","127"
"101","227.4","973.3","117.4","216","1044","27","127"
"102","229.9","984.0","118.4","211","1025","27","127"
"103","231.9","992.3","118.4","211","1025","27","128"
"104","234.4","1003.0","119.8","204","1000","26","128"
"105","236.4","1011.3","118.3","211","1027","27","128"
"106","238.9","1022.1","118.8","209","1018","27","128"
"107","240.9","1030.4","117.5","216","1042","26","128"
"108","243.4","1041.1","118.8","209","1018","26","128"
"109","245.9","1051.8","118.1","212","1031","26","128"
"110","247.9","1060.2","118.1","212","1031","26","128"
"111","250.4","1071.0","116.7","220","1057","27","128"
"112","252.4","1079.5","116.7","220","1057","27","128"
"113","254.9","1090.3","117.4","216","1044","26","128"
"114","256.9","1098.8","117.4","216","1044","26","128"
"115","259.4","1109.8","115.7","226","1077","27","128"
"116","261.4","1118.2","115.7","226","1077","27","128"
"117","263.9","1129.0","116.1","224","1069","26","129"
"118","266.4","1139.7","118.6","210","1022","26","128"
"119","268.4","1148.1","118.6","210","1022","26","128"
"120","270.9","1159.0","117.2","217","1048","26","128"
"121","272.9","1167.3","117.2","217","1048","26","128"
"122","275.4","1178.0","117.8","214","1036","27","128"
"123","277.4","1186.5","117.8","214","1036","27","128"
"124","279.9","1197.6","114.2","235","1108","27","128"
"125","281.9","1206.2","114.2","235","1108","27","128"
"126","283.9","1214.9","115.6","227","1079","27","128"
"127","286.4","1225.9","115.8","225","1075","28","128"
"128","288.4","1234.5","115.8","225","1075","28","129"
"129","290.4","1243.1","115.3","228","1085","27","129"
"130","292.9","1254.1","114.9","231","1094","28","129"
"131","294.9","1262.6","114.9","231","1094","28","130"
"132","297.4","1273.6","116.1","224","1069","27","130"
"133","299.4","1282.2","116.1","224","1069","27","130"
"134","301.9","1293.2","115.2","229","1087","27","130"
"135","303.9","1301.8","115.2","229","1087","27","130"
"136","306.4","1312.7","116.4","222","1063","27","130"
"137","308.4","1321.0","116.4","222","1063","27","130"
"138","310.9","1332.0","116.1","224","1069","27","130"
"139","312.9","1340.5","116.1","224","1069","27","131"
"140","315.4","1351.5","115.2","229","1087","27","131"
"141","317.4","1359.9","115.7","226","1077","26","131"
"142","319.9","1370.6","117.7","215","1038","26","131"
"143","322.4","1381.4","118.4","211","1025","26","131"
"144","324.4","1389.8","118.4","211","1025","26","131"
"145","326.9","1400.4","118.9","208","1016","27","131"
"146","328.9","1408.8","118.9","208","1016","27","131"
"147","331.4","1419.4","119.2","207","1011","26","131"
"148","333.4","1427.9","119.2","207","1011","26","131"
"149","335.9","1439.0","114.9","231","1094","26","131"
"150","337.9","1447.5","114.7","232","1098","26","131"
"151","340.4","1458.5","116.4","222","1063","26","131"
"152","342.4","1467.0","115.8","225","1075","27","131"
"153","344.9","1477.8","116.4","222","1063","26","131"
"154","346.8","1486.2","116.7","220","1057","26","131"
"155","349.4","1497.1","117.5","216","1042","27","131"
"156","351.4","1505.5","117.0","219","1052","27","131"
"157","353.9","1516.3","117.7","215","1038","27","131"
"158","355.9","1524.8","117.7","215","1038","27","131"
"159","358.4","1535.7","115.6","227","1079","26","131"
"160","360.9","1546.4","118.2","212","1029","26","131"
"161","362.9","1554.7","118.2","212","1029","26","131"
"162","365.4","1565.6","118.4","211","1025","26","131"
"163","367.3","1574.1","116.1","224","1069","26","131"
"164","369.9","1585.2","115.5","227","1081","26","131"
"165","371.8","1593.7","114.9","231","1094","27","131"
"166","374.4","1604.6","115.8","225","1075","27","131"
"167","376.9","1615.4","117.5","216","1042","26","132"
"168","378.8","1623.7","117.5","216","1042","26","132"
"169","381.3","1634.6","116.9","219","1054","26","132"
"170","383.4","1643.2","116.8","220","1055","26","132"
"171","385.9","1654.0","115.1","230","1089","27","132"
"172","387.9","1662.3","117.9","214","1034","26","132"
"173","390.3","1673.1","117.8","214","1036","27","132"
"174","392.3","1681.4","117.8","214","1036","27","132"
"175","394.9","1692.1","119.2","207","1011","26","132"
"176","396.9","1700.4","119.4","206","1007","27","132"
"177","399.4","1711.0","118.7","209","1020","26","132"
"178","401.9","1721.8","117.1","218","1050","26","132"
"179","403.8","1730.2","117.1","218","1050","26","132"
"180","406.3","1740.9","118.7","209","1020","26","133"
"181","408.9","1751.7","117.0","219","1052","26","133"
"182","410.9","1760.2","117.0","219","1052","26","133"
"183","413.4","1771.1","116.3","222","1065","25","133"
"184","415.3","1779.5","116.3","222","1065","25","133"
"185","417.9","1790.5","116.2","223","1067","26","133"
"186","419.8","1799.0","115.7","226","1077","27","134"
"187","422.3","1809.9","116.8","220","1055","27","134"
"188","424.4","1818.4","116.1","224","1069","27","134"
"189","426.9","1829.0","118.5","210","1023","27","134"
"190","428.8","1837.5","118.5","210","1023","27","134"
"191","431.3","1848.3","117.1","218","1050","27","134"
"192","433.3","1856.8","117.1","218","1050","27","134"
"193","435.9","1867.4","118.7","209","1020","26","134"
"194","437.9","1875.7","118.7","209","1020","26","134"
"195","440.4","1886.5","119.2","207","1011","25","134"
"196","442.3","1894.8","116.9","219","1054","27","134"
"197","444.8","1905.3","118.9","208","1016","26","134"
"198","447.4","1916.1","117.3","217","1046","26","134"
"199","449.8","1926.7","118.4","211","1025","25","134"
"200","451.9","1935.1","118.4","211","1025","25","134"
"201","454.3","1946.0","117.5","216","1042","26","134"
"202","456.3","1954.4","116.0","224","1071","26","134"
"203","458.9","1965.1","117.5","216","1042","26","135"
"204","461.3","1975.6","119.3","206","1009","26","135"
"205","463.3","1984.2","119.3","206","1009","26","135"
"206","465.8","1995.1","116.7","220","1057","26","135"
"207","469.0","2003.6","118.2","212","1029","26","135"
"208","470.2","2024.8","276.6","17","356","26","99"
"209","472.7","2030.4","224.8","31","406","26","96"
"210","475.2","2037.0","190.7","50","473","26","92"
