"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.9","11.8","149.6","105","659","0","61"
"2","4.9","21.0","116.4","222","1063","29","61"
"3","6.9","30.2","108.5","274","1243","29","61"
"4","9.4","41.5","109.2","269","1225","28","61"
"5","11.4","50.2","112.1","248","1155","28","65"
"6","13.9","61.4","114.0","236","1113","27","78"
"7","15.9","70.0","114.0","236","1113","27","84"
"8","18.4","81.1","114.7","232","1098","26","87"
"9","20.4","89.7","114.7","232","1098","26","89"
"10","22.4","98.4","115.3","228","1085","27","91"
"11","24.9","109.5","114.5","233","1102","27","91"
"12","26.9","118.2","114.5","233","1102","27","92"
"13","29.4","129.3","114.1","236","1110","27","92"
"14","31.4","137.9","114.1","236","1110","27","92"
"15","33.4","146.6","115.0","230","1092","27","94"
"16","35.9","157.7","114.3","234","1106","28","96"
"17","37.9","166.3","114.4","234","1104","27","97"
"18","40.4","177.4","116.0","224","1071","27","99"
"19","42.4","185.9","116.0","224","1071","27","100"
"20","44.4","194.5","115.7","226","1077","28","101"
"21","46.9","205.5","115.9","225","1073","28","103"
"22","48.9","214.2","115.9","225","1073","28","104"
"23","51.4","225.2","115.2","229","1087","27","105"
"24","53.4","233.8","115.2","229","1087","27","106"
"25","55.4","242.3","115.9","225","1073","27","106"
"26","57.9","253.1","116.2","223","1067","27","107"
"27","60.4","264.0","116.1","224","1069","26","109"
"28","62.4","272.5","116.1","224","1069","26","109"
"29","64.9","283.4","116.2","223","1067","26","110"
"30","66.9","291.9","116.2","223","1067","26","110"
"31","69.4","302.8","116.2","223","1067","27","111"
"32","71.4","311.3","116.6","221","1059","27","111"
"33","73.9","322.1","116.8","220","1055","27","112"
"34","75.9","330.6","117.1","218","1050","27","112"
"35","78.4","341.4","116.4","222","1063","27","113"
"36","80.4","349.9","117.1","218","1050","27","113"
"37","82.9","360.7","118.0","213","1033","27","114"
"38","84.9","369.2","118.0","213","1033","27","114"
"39","87.4","380.3","115.2","229","1087","27","114"
