"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.1","4.5","135.1","142","788","0","74"
"2","3.1","13.6","110.9","257","1183","29","75"
"3","5.1","22.9","110.9","257","1183","29","76"
"4","7.6","34.4","109.8","264","1209","26","77"
"5","9.6","43.4","109.8","264","1209","26","79"
"6","12.1","55.1","108.1","277","1253","26","86"
"7","14.1","64.2","108.1","277","1253","26","91"
"8","16.6","75.7","109.3","268","1222","27","94"
"9","18.6","84.7","110.2","262","1200","26","100"
"10","21.1","96.1","110.0","263","1205","26","104"
"11","23.6","107.5","110.4","260","1195","26","106"
"12","25.6","116.6","110.4","260","1195","26","106"
"13","28.1","128.1","109.2","269","1225","26","107"
"14","30.1","137.0","110.0","263","1205","26","108"
"15","32.6","148.2","111.7","251","1164","26","109"
"16","35.1","159.6","111.8","250","1161","26","110"
"17","37.1","168.4","111.8","250","1161","26","110"
"18","39.6","179.7","111.9","250","1159","26","111"
"19","42.1","191.0","111.7","251","1164","26","111"
"20","44.1","199.9","111.7","251","1164","26","112"
"21","46.6","211.2","111.4","253","1171","26","112"
"22","48.6","220.1","111.4","253","1171","26","113"
"23","51.1","231.5","111.3","254","1173","27","114"
"24","53.1","240.4","111.3","254","1173","27","115"
"25","55.6","251.6","111.6","252","1166","26","116"
"26","58.1","262.9","112.4","246","1148","26","118"
"27","60.1","271.7","112.4","246","1148","26","119"
"28","62.6","283.0","112.1","248","1155","27","120"
"29","64.6","291.7","112.1","248","1155","27","121"
"30","67.1","303.1","111.8","250","1161","27","122"
"31","69.1","312.1","111.8","250","1161","27","122"
"32","71.6","323.4","112.5","246","1146","26","122"
"33","73.6","332.2","112.5","246","1146","26","122"
"34","76.1","343.5","111.6","252","1166","27","122"
"35","78.6","354.8","112.2","248","1152","26","123"
"36","80.6","363.5","112.2","248","1152","26","123"
"37","83.1","374.7","112.4","246","1148","25","124"
"38","85.6","386.0","112.7","245","1141","25","124"
"39","88.1","397.3","111.4","253","1171","25","125"
"40","90.1","406.1","111.4","253","1171","25","125"
"41","92.6","417.4","112.2","248","1152","26","126"
"42","95.1","428.6","112.5","246","1146","26","127"
"43","97.1","437.5","112.5","246","1146","26","127"
"44","99.6","448.8","111.3","254","1173","26","128"
"45","102.1","460.2","110.9","257","1183","25","128"
"46","104.6","471.7","110.0","263","1205","26","128"
"47","106.6","480.5","110.0","263","1205","26","128"
"48","109.1","491.9","110.5","259","1192","25","129"
"49","111.6","503.4","110.8","257","1185","26","129"
"50","113.6","512.2","110.8","257","1185","26","129"
"51","116.1","523.6","111.2","255","1176","26","130"
"52","118.6","535.1","110.7","258","1187","26","130"
"53","120.6","543.9","110.7","258","1187","26","131"
"54","123.1","555.2","111.5","252","1168","26","132"
"55","125.6","566.6","111.1","255","1178","25","132"
"56","127.6","575.5","111.1","255","1178","25","132"
"57","130.1","586.9","111.0","256","1180","26","133"
"58","132.1","595.9","111.0","256","1180","26","133"
"59","134.6","607.5","109.4","267","1219","26","133"
"60","136.6","616.4","110.1","262","1202","26","133"
"61","139.1","627.7","110.5","259","1192","26","134"
"62","141.6","639.1","111.5","252","1168","27","134"
"63","143.6","647.9","111.5","252","1168","27","135"
"64","146.1","659.2","112.1","248","1155","26","135"
"65","148.6","670.4","112.2","248","1152","26","135"
"66","150.6","679.3","112.2","248","1152","26","136"
"67","153.1","690.8","111.2","255","1176","26","136"
"68","155.1","699.6","111.2","255","1176","26","136"
"69","157.6","711.0","111.3","254","1173","26","136"
"70","159.6","719.8","111.3","254","1173","26","136"
"71","162.1","731.2","111.1","255","1178","26","136"
"72","164.6","742.6","110.8","257","1185","26","136"
"73","166.6","751.4","110.8","257","1185","26","136"
"74","169.1","762.8","112.0","249","1157","27","136"
"75","171.1","771.6","112.0","249","1157","27","137"
"76","173.6","783.0","112.0","249","1157","26","137"
"77","175.6","791.9","111.3","254","1173","26","138"
"78","178.1","803.3","111.0","256","1180","26","138"
"79","180.6","814.6","111.9","250","1159","26","138"
"80","182.6","823.3","111.9","250","1159","26","137"
"81","185.1","834.6","112.7","245","1141","26","137"
"82","187.1","843.3","112.7","245","1141","26","137"
"83","189.6","854.6","112.3","247","1150","26","137"
"84","191.6","863.5","112.3","247","1150","26","137"
"85","194.1","874.9","111.4","253","1171","26","137"
"86","196.1","883.8","111.4","253","1171","27","137"
"87","198.6","895.2","111.1","255","1178","27","138"
"88","201.1","906.6","111.5","252","1168","27","138"
"89","203.1","915.5","111.5","252","1168","27","139"
"90","205.6","926.8","112.7","245","1141","26","139"
"91","207.6","935.4","112.7","245","1141","26","139"
"92","210.1","946.7","112.9","243","1137","26","139"
"93","212.6","957.9","113.3","241","1128","26","139"
"94","214.6","966.7","113.3","241","1128","26","139"
"95","217.1","978.0","112.5","246","1146","27","138"
"96","219.1","986.8","112.5","246","1146","27","138"
"97","221.6","998.0","112.8","244","1139","26","138"
"98","224.1","1009.2","112.3","247","1150","25","139"
"99","226.1","1017.9","112.3","247","1150","25","139"
"100","228.6","1029.0","112.0","249","1157","25","139"
"101","231.1","1040.2","113.9","237","1115","25","139"
"102","233.6","1051.4","112.5","246","1146","26","139"
"103","235.6","1060.3","112.5","246","1146","26","139"
