"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.1","4.2","133.3","148","808","66","62"
"2","3.1","13.2","133.3","148","808","66","62"
"3","5.1","22.7","110.9","257","1183","28","64"
"4","7.6","34.7","105.7","296","1320","28","65"
"5","9.6","43.9","105.7","296","1320","28","68"
"6","11.6","53.0","108.1","277","1253","27","74"
"7","14.1","64.7","108.5","274","1243","27","84"
"8","16.1","73.5","109.3","268","1222","27","90"
"9","18.6","85.0","111.8","250","1161","27","94"
"10","21.1","96.4","110.7","258","1187","26","98"
"11","23.1","105.4","110.7","258","1187","26","100"
"12","25.6","116.7","110.8","257","1185","26","101"
"13","27.6","125.7","111.4","253","1171","26","103"
"14","30.1","137.2","110.2","262","1200","26","104"
"15","32.1","146.1","110.2","262","1200","26","104"
"16","34.6","157.5","110.2","262","1200","26","105"
"17","37.1","169.0","110.7","258","1187","26","107"
"18","39.1","177.9","110.7","258","1187","26","108"
"19","41.6","189.2","110.4","260","1195","26","110"
"20","44.1","200.4","112.9","243","1137","25","112"
"21","46.1","209.2","112.9","243","1137","25","113"
"22","48.6","220.6","112.0","249","1157","26","113"
"23","51.1","231.9","111.6","252","1166","26","113"
"24","53.1","240.7","111.6","252","1166","26","113"
"25","55.6","252.2","111.0","256","1180","26","113"
"26","58.1","263.5","112.1","248","1155","26","114"
"27","60.1","272.3","112.1","248","1155","26","114"
"28","62.6","283.6","111.7","251","1164","26","115"
"29","65.1","294.9","111.7","251","1164","26","116"
"30","67.1","303.7","112.4","246","1148","25","117"
"31","69.6","314.9","111.9","250","1159","26","118"
"32","72.1","326.3","112.3","247","1150","26","119"
"33","74.1","335.1","112.3","247","1150","26","120"
"34","76.6","346.5","110.8","257","1185","26","120"
"35","79.1","357.8","112.2","248","1152","26","121"
"36","81.1","366.5","112.2","248","1152","26","122"
"37","83.6","377.9","111.6","252","1166","26","122"
"38","85.6","386.8","111.6","252","1166","26","123"
"39","88.1","398.2","111.0","256","1180","26","123"
"40","90.6","409.5","111.7","251","1164","26","123"
"41","92.6","418.4","111.7","251","1164","26","123"
"42","95.1","429.7","112.0","249","1157","26","124"
"43","97.1","438.5","112.0","249","1157","26","124"
"44","99.6","449.9","111.9","250","1159","27","124"
"45","101.6","458.7","111.9","250","1159","27","125"
"46","104.1","469.9","112.6","245","1143","26","125"
"47","106.6","481.1","112.1","248","1155","26","126"
"48","108.6","490.0","112.1","248","1155","26","126"
"49","111.1","501.2","112.1","248","1155","26","126"
"50","113.6","512.5","112.0","249","1157","26","127"
"51","115.6","521.3","112.0","249","1157","26","127"
"52","118.1","532.7","111.1","255","1178","26","128"
"53","120.1","541.6","111.1","255","1178","26","128"
"54","122.6","552.9","111.0","256","1180","26","129"
"55","124.6","561.7","112.4","246","1148","26","129"
"56","127.1","573.0","112.2","248","1152","26","130"
"57","129.6","584.3","112.8","244","1139","26","130"
"58","131.6","593.1","112.8","244","1139","26","131"
"59","134.1","604.4","111.3","254","1173","26","131"
"60","136.1","613.3","111.6","252","1166","26","131"
"61","138.6","624.6","112.1","248","1155","26","132"
"62","141.1","635.9","111.5","252","1168","26","132"
"63","143.1","644.8","111.5","252","1168","26","132"
"64","145.6","656.2","111.1","255","1178","26","131"
"65","148.1","667.5","111.7","251","1164","26","131"
"66","150.1","676.4","111.7","251","1164","26","131"
"67","152.6","687.8","110.9","257","1183","26","131"
"68","154.6","696.7","110.9","257","1183","26","131"
"69","157.1","708.1","110.9","257","1183","26","132"
"70","159.1","717.0","110.6","259","1190","26","132"
"71","161.6","728.3","111.4","253","1171","26","132"
"72","164.1","739.7","111.7","251","1164","26","132"
"73","166.1","748.6","111.7","251","1164","26","132"
"74","168.6","759.9","111.0","256","1180","26","132"
"75","171.1","771.3","111.3","254","1173","26","133"
"76","173.1","780.2","111.3","254","1173","26","133"
"77","175.6","791.6","111.5","252","1168","26","134"
"78","177.6","800.4","111.5","252","1168","26","134"
"79","180.1","811.8","111.1","255","1178","26","135"
"80","182.6","823.2","111.5","252","1168","26","135"
"81","184.6","832.1","111.5","252","1168","26","135"
"82","187.1","843.4","112.1","248","1155","26","135"
"83","189.1","852.3","112.1","248","1155","26","135"
"84","191.6","863.7","111.8","250","1161","26","136"
"85","194.1","875.0","111.7","251","1164","26","136"
"86","196.1","883.8","111.7","251","1164","26","136"
"87","198.6","895.0","111.7","251","1164","26","136"
"88","200.6","904.0","112.2","248","1152","26","136"
"89","203.1","915.2","111.8","250","1161","26","136"
"90","205.6","926.4","112.4","246","1148","26","136"
"91","207.6","935.3","112.4","246","1148","26","136"
"92","210.1","946.6","111.9","250","1159","26","136"
"93","212.6","958.0","110.7","258","1187","27","136"
"94","214.6","966.9","110.7","258","1187","27","136"
"95","217.1","978.2","111.7","251","1164","26","136"
"96","219.1","987.0","111.9","250","1159","26","136"
"97","221.6","998.3","111.8","250","1161","26","137"
"98","224.1","1009.8","111.0","256","1180","26","137"
"99","226.1","1018.6","111.0","256","1180","26","137"
"100","228.6","1030.0","111.0","256","1180","26","137"
"101","230.6","1038.8","111.2","255","1176","26","137"
"102","233.1","1050.3","111.5","252","1168","26","138"
"103","235.6","1061.7","111.4","253","1171","26","139"
"104","237.6","1070.4","111.4","253","1171","26","139"
"105","240.1","1081.8","111.0","256","1180","26","139"
"106","242.1","1090.7","111.0","256","1180","26","140"
"107","244.6","1102.1","111.0","256","1180","26","140"
"108","247.1","1113.5","111.3","254","1173","26","141"
"109","249.1","1122.3","111.3","254","1173","26","141"
"110","251.6","1133.7","111.0","256","1180","26","141"
"111","253.6","1142.6","111.8","250","1161","26","141"
