"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.0","12.0","150.0","104","656","0","83"
"2","5.0","21.4","115.1","230","1089","30","84"
"3","7.0","31.2","106.4","291","1300","30","86"
"4","9.0","40.7","102.7","323","1412","29","87"
"5","11.5","52.9","105.4","299","1328","28","89"
"6","13.5","62.2","105.4","299","1328","28","94"
"7","15.5","71.5","105.8","296","1317","27","100"
"8","18.0","83.4","107.0","286","1283","27","108"
"9","20.0","92.9","106.6","289","1294","27","109"
"10","22.5","104.9","105.7","296","1320","27","112"
"11","24.5","114.4","105.7","296","1320","27","114"
"12","27.0","126.1","108.1","277","1253","27","115"
"13","29.0","135.2","108.1","277","1253","27","115"
"14","31.5","146.8","109.3","268","1222","26","116"
"15","33.5","155.6","109.3","268","1222","26","116"
"16","36.0","166.8","114.1","236","1110","26","117"
"17","38.0","175.7","114.1","236","1110","26","118"
"18","40.5","187.2","109.6","266","1214","27","119"
"19","42.5","196.2","109.6","266","1214","27","119"
"20","45.0","207.7","110.0","263","1205","26","121"
"21","47.0","216.8","110.0","263","1205","26","121"
"22","49.5","228.5","108.5","274","1243","27","122"
"23","51.5","237.6","108.5","274","1243","27","123"
"24","54.0","248.9","111.8","250","1161","27","124"
"25","56.0","257.8","111.8","250","1161","27","125"
"26","58.5","269.2","111.3","254","1173","27","126"
"27","60.5","278.1","111.3","254","1173","27","127"
"28","63.0","289.6","110.8","257","1185","26","128"
"29","65.0","298.5","110.8","257","1185","26","128"
"30","67.5","309.9","111.3","254","1173","27","128"
"31","69.5","318.9","111.3","254","1173","27","129"
"32","72.0","330.3","110.9","257","1183","27","130"
"33","74.0","339.1","110.9","257","1183","27","130"
"34","76.5","350.5","111.6","252","1166","26","131"
"35","78.5","359.3","111.6","252","1166","26","131"
"36","81.0","370.6","112.5","246","1146","27","131"
"37","83.0","379.4","112.5","246","1146","27","131"
"38","85.5","390.7","111.8","250","1161","27","131"
"39","87.5","399.5","111.8","250","1161","27","131"
"40","90.0","410.8","112.6","245","1143","27","131"
"41","92.0","419.7","112.6","245","1143","27","131"
"42","94.5","431.0","112.1","248","1155","27","132"
"43","96.5","439.8","112.1","248","1155","27","132"
"44","99.0","451.1","112.1","248","1155","27","133"
"45","101.0","459.9","112.1","248","1155","27","133"
"46","103.5","471.2","112.5","246","1146","26","134"
"47","105.5","480.0","112.5","246","1146","26","134"
"48","108.0","491.4","111.7","251","1164","26","135"
"49","110.0","500.3","111.7","251","1164","26","135"
"50","112.0","509.1","111.3","254","1173","27","135"
"51","114.5","520.4","112.5","246","1146","27","136"
"52","116.5","529.2","112.9","243","1137","27","136"
"53","119.0","540.6","112.5","246","1146","27","136"
"54","121.5","551.8","112.5","246","1146","26","137"
"55","123.5","560.5","112.5","246","1146","26","137"
"56","126.0","571.8","112.9","243","1137","25","138"
"57","128.5","583.1","112.4","246","1148","26","138"
"58","130.5","591.9","112.4","246","1148","26","139"
"59","133.0","603.0","112.5","246","1146","26","139"
"60","135.0","611.8","112.5","246","1146","26","139"
