"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.1","3.7","150.4","103","654","0","64"
"2","3.1","12.3","150.4","103","654","0","64"
"3","5.1","21.4","116.5","221","1061","29","64"
"4","7.6","32.8","111.4","253","1171","26","64"
"5","9.6","41.6","111.4","253","1171","26","64"
"6","12.1","52.7","113.8","237","1117","26","64"
"7","14.1","61.3","113.8","237","1117","26","71"
"8","16.6","72.3","115.0","230","1092","27","80"
"9","19.1","83.1","117.2","217","1048","26","87"
"10","21.1","91.4","117.2","217","1048","26","92"
"11","23.6","102.3","116.6","221","1059","26","95"
"12","25.6","110.9","116.6","221","1059","26","95"
"13","28.1","121.9","115.0","230","1092","26","95"
"14","30.6","132.9","114.8","231","1096","26","95"
"15","32.6","141.3","114.8","231","1096","26","96"
"16","35.1","152.2","116.9","219","1054","26","98"
"17","37.6","163.1","115.4","228","1083","26","99"
"18","39.6","171.7","115.4","228","1083","26","101"
"19","42.1","182.7","115.3","228","1085","27","103"
"20","44.1","191.2","115.3","228","1085","27","105"
"21","46.6","202.2","116.3","222","1065","26","106"
"22","48.6","210.6","116.3","222","1065","26","107"
"23","51.1","221.6","115.8","225","1075","26","108"
"24","53.1","230.2","115.8","225","1075","26","109"
"25","55.6","241.1","116.4","222","1063","27","109"
"26","57.6","249.5","116.4","222","1063","27","110"
"27","60.1","260.5","116.3","222","1065","27","110"
"28","62.1","269.1","116.3","222","1065","27","111"
"29","64.1","277.6","116.0","224","1071","27","111"
"30","66.6","288.4","116.5","221","1061","27","112"
"31","68.6","297.0","116.4","222","1063","27","113"
"32","71.1","308.0","116.0","224","1071","27","114"
"33","73.1","316.5","116.0","224","1071","27","115"
"34","75.6","327.5","115.5","227","1081","27","115"
"35","77.6","336.1","115.5","227","1081","27","116"
"36","80.1","347.0","115.2","229","1087","27","116"
"37","82.1","355.6","115.2","229","1087","27","116"
"38","84.6","366.5","116.0","224","1071","27","116"
"39","86.6","375.0","116.0","224","1071","27","116"
"40","89.1","386.0","116.2","223","1067","27","116"
"41","91.1","394.5","116.2","223","1067","27","116"
"42","93.1","403.0","116.3","222","1065","27","117"
"43","95.6","414.2","114.9","231","1094","28","117"
"44","97.6","422.6","114.9","231","1094","28","118"
"45","100.1","433.6","115.9","225","1073","27","118"
"46","102.1","442.2","115.9","225","1073","27","118"
"47","104.6","453.2","115.5","227","1081","27","118"
"48","106.6","461.8","115.5","227","1081","27","119"
"49","109.1","472.8","115.2","229","1087","27","119"
"50","111.1","481.5","114.2","235","1108","28","119"
"51","113.1","490.1","114.2","235","1108","28","119"
"52","115.6","500.9","116.5","221","1061","27","120"
"53","117.6","509.4","116.5","221","1061","27","120"
"54","120.1","520.4","115.4","228","1083","27","120"
"55","122.1","528.8","115.4","228","1083","27","120"
"56","124.6","539.6","116.6","221","1059","26","120"
"57","127.1","550.5","116.3","222","1065","26","121"
"58","129.1","558.9","116.3","222","1065","26","121"
"59","131.6","569.8","116.2","223","1067","26","121"
"60","133.6","578.3","116.2","223","1067","26","121"
"61","136.1","589.2","116.1","224","1069","26","122"
"62","138.6","600.1","115.7","226","1077","26","122"
"63","140.6","608.7","115.7","226","1077","26","123"
"64","143.1","619.5","116.3","222","1065","26","123"
"65","145.1","628.0","116.3","222","1065","26","124"
"66","147.6","639.0","116.0","224","1071","26","124"
"67","150.1","649.8","116.8","220","1055","26","124"
"68","152.1","658.4","116.8","220","1055","26","124"
"69","154.1","667.0","115.6","227","1079","27","124"
"70","156.6","677.8","115.4","228","1083","27","124"
"71","159.1","688.5","118.9","208","1016","27","124"
"72","161.1","697.1","118.9","208","1016","27","124"
"73","163.1","705.7","115.3","228","1085","28","124"
"74","165.6","716.8","114.8","231","1096","27","124"
"75","167.6","725.4","114.8","231","1096","27","125"
"76","170.1","736.4","116.2","223","1067","28","125"
"77","172.1","744.9","116.2","223","1067","28","125"
"78","174.1","753.5","115.8","225","1075","27","125"
"79","176.6","764.4","115.9","225","1073","27","126"
"80","178.6","773.0","115.4","228","1083","26","126"
"81","181.1","783.9","116.0","224","1071","27","126"
"82","183.1","792.4","116.3","222","1065","27","127"
"83","185.6","803.5","115.9","225","1073","27","127"
"84","188.1","814.4","116.0","224","1071","26","127"
"85","190.1","822.9","116.0","224","1071","26","127"
