"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.2","12.9","117.8","214","1036","29","65"
"2","5.2","21.7","117.8","214","1036","29","65"
"3","7.2","30.5","112.8","244","1139","28","65"
"4","9.7","41.7","114.1","236","1110","27","69"
"5","11.7","50.3","114.1","236","1110","27","73"
"6","14.2","61.1","116.4","222","1063","27","84"
"7","16.2","69.6","116.4","222","1063","27","88"
"8","18.2","78.2","116.6","221","1059","26","92"
"9","20.7","89.0","116.2","223","1067","27","97"
"10","23.2","99.7","117.8","214","1036","26","100"
"11","25.2","108.2","117.8","214","1036","26","102"
"12","27.7","119.1","116.9","219","1054","27","102"
"13","29.7","127.6","117.0","219","1052","28","103"
"14","31.7","136.3","117.0","219","1052","28","103"
"15","33.7","144.9","114.6","233","1100","28","104"
"16","36.2","155.8","116.3","222","1065","27","105"
"17","38.2","164.3","116.3","222","1065","27","105"
"18","40.7","175.2","116.2","223","1067","27","107"
"19","42.7","183.7","116.2","223","1067","27","108"
"20","45.2","194.7","117.0","219","1052","27","110"
"21","47.2","203.3","115.5","227","1081","26","111"
"22","49.7","214.2","114.8","231","1096","26","112"
"23","52.2","225.1","116.3","222","1065","26","112"
"24","54.2","233.6","116.3","222","1065","26","114"
"25","56.7","244.5","116.6","221","1059","26","115"
"26","58.7","253.0","116.6","221","1059","26","115"
"27","61.2","263.7","117.9","214","1034","26","116"
"28","63.2","272.1","117.9","214","1034","26","118"
"29","65.7","282.9","117.5","216","1042","26","119"
"30","68.2","293.9","115.8","225","1075","27","117"
"31","70.2","302.4","115.8","225","1075","27","118"
"32","72.7","313.4","115.8","225","1075","26","119"
"33","74.7","322.0","115.8","225","1075","26","120"
"34","77.2","332.9","116.7","220","1057","26","120"
"35","79.2","341.4","116.7","220","1057","26","121"
"36","81.7","352.5","114.7","232","1098","27","121"
"37","83.7","361.1","114.7","232","1098","27","122"
"38","85.7","369.7","115.3","228","1085","27","123"
"39","88.2","380.5","116.0","224","1071","27","124"
"40","90.2","389.1","116.4","222","1063","27","124"
"41","92.7","400.0","116.6","221","1059","27","124"
"42","94.7","408.5","116.6","221","1059","27","125"
"43","96.7","417.1","116.9","219","1054","27","125"
"44","99.2","428.1","115.4","228","1083","28","126"
"45","101.2","436.6","116.4","222","1063","27","125"
"46","103.7","447.5","116.7","220","1057","27","126"
"47","105.7","456.1","116.7","220","1057","27","126"
"48","108.2","467.0","115.9","225","1073","27","127"
"49","110.2","475.5","115.9","225","1073","27","127"
"50","112.2","484.0","116.1","224","1069","27","127"
"51","114.7","494.8","116.7","220","1057","27","128"
"52","116.7","503.5","116.8","220","1055","26","128"
"53","119.2","514.6","114.5","233","1102","28","127"
"54","121.2","523.2","114.5","233","1102","28","127"
"55","123.7","534.1","115.6","227","1079","27","128"
"56","125.7","542.7","115.6","227","1079","27","128"
"57","128.2","553.8","114.9","231","1094","27","128"
"58","130.2","562.3","114.9","231","1094","27","128"
"59","132.7","573.4","115.0","230","1092","27","128"
"60","134.7","582.1","115.0","230","1092","27","129"
"61","136.7","590.6","114.8","231","1096","28","129"
"62","139.2","601.6","115.9","225","1073","27","129"
"63","141.2","610.3","115.4","228","1083","27","129"
"64","143.2","619.0","114.2","235","1108","28","129"
"65","145.7","630.1","115.1","230","1089","27","129"
"66","147.7","638.7","115.1","230","1089","27","129"
"67","150.2","649.6","116.3","222","1065","28","129"
