"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.8","11.3","140.6","126","733","0","68"
"2","5.3","22.7","111.4","253","1171","28","68"
"3","7.3","31.5","111.4","253","1171","28","68"
"4","9.3","40.2","113.9","237","1115","27","70"
"5","11.8","51.3","114.5","233","1102","27","74"
"6","13.8","59.9","114.1","236","1110","27","82"
"7","16.3","70.8","114.9","231","1094","27","87"
"8","18.8","81.5","118.1","212","1031","26","94"
"9","20.8","90.0","118.1","212","1031","26","97"
"10","23.3","100.9","115.9","225","1073","27","98"
"11","25.3","109.5","115.9","225","1073","27","100"
"12","27.8","120.3","117.0","219","1052","27","100"
"13","29.8","128.8","117.0","219","1052","27","99"
"14","32.3","139.7","116.3","222","1065","27","100"
"15","34.3","148.2","116.3","222","1065","27","101"
"16","36.8","159.0","117.3","217","1046","26","103"
"17","38.8","167.4","117.3","217","1046","26","105"
"18","41.3","178.3","117.6","215","1040","25","106"
"19","43.8","189.2","116.5","221","1061","26","108"
"20","45.8","197.8","116.5","221","1061","26","109"
"21","48.3","208.7","115.4","228","1083","26","110"
"22","50.3","217.1","115.4","228","1083","26","111"
"23","52.8","227.9","118.0","213","1033","26","111"
"24","55.3","238.7","116.9","219","1054","26","112"
"25","57.3","247.3","116.9","219","1054","26","113"
"26","59.8","258.3","115.7","226","1077","26","113"
"27","61.8","266.8","115.7","226","1077","26","114"
"28","64.3","277.6","116.3","222","1065","26","115"
"29","66.3","286.1","116.3","222","1065","26","115"
"30","68.8","296.9","116.0","224","1071","26","115"
"31","71.3","307.8","116.2","223","1067","26","116"
"32","73.3","316.3","116.2","223","1067","26","116"
"33","75.8","327.1","116.2","223","1067","26","117"
"34","78.3","337.9","117.3","217","1046","26","118"
"35","80.3","346.4","117.3","217","1046","26","119"
"36","82.8","357.1","116.0","224","1071","26","119"
"37","85.3","368.0","116.8","220","1055","26","120"
"38","87.3","376.5","116.8","220","1055","26","120"
"39","89.8","387.5","115.1","230","1089","26","120"
"40","91.8","396.0","115.1","230","1089","26","120"
"41","94.3","406.8","116.3","222","1065","26","120"
"42","96.8","417.4","117.3","217","1046","25","121"
"43","99.3","428.2","116.8","220","1055","25","121"
"44","101.3","436.8","116.8","220","1055","25","121"
"45","103.8","447.8","114.7","232","1098","26","121"
"46","106.3","458.7","116.9","219","1054","26","121"
"47","108.8","469.4","117.2","217","1048","25","121"
"48","110.8","477.9","117.2","217","1048","25","121"
"49","113.3","488.9","114.8","231","1096","26","121"
"50","115.3","497.4","114.8","231","1096","26","122"
"51","117.8","508.2","117.4","216","1044","27","123"
"52","119.8","516.8","117.4","216","1044","27","123"
"53","122.3","527.8","114.7","232","1098","26","123"
"54","124.3","536.4","114.7","232","1098","26","123"
"55","126.8","547.4","115.0","230","1092","26","123"
"56","129.3","558.3","115.2","229","1087","26","123"
"57","131.3","566.8","115.2","229","1087","26","124"
"58","133.8","577.8","115.6","227","1079","26","125"
"59","135.8","586.5","115.6","227","1079","26","125"
"60","138.3","597.5","113.2","241","1130","26","125"
"61","140.3","606.1","115.0","230","1092","26","125"
"62","142.8","617.2","114.7","232","1098","27","126"
"63","145.3","628.2","115.0","230","1092","26","127"
"64","147.3","636.7","115.0","230","1092","26","127"
"65","149.8","647.7","115.7","226","1077","27","127"
"66","151.8","656.3","115.7","226","1077","27","128"
"67","154.3","667.2","115.4","228","1083","26","128"
"68","156.8","678.2","114.8","231","1096","26","128"
"69","158.8","686.7","114.8","231","1096","26","128"
"70","161.3","697.6","116.2","223","1067","26","129"
"71","163.3","706.1","116.2","223","1067","26","129"
"72","165.8","717.1","116.7","220","1057","27","129"
"73","167.8","725.6","116.0","224","1071","26","129"
"74","170.3","736.6","115.2","229","1087","27","130"
"75","172.3","745.1","115.3","228","1085","26","130"
"76","174.8","756.1","116.1","224","1069","27","130"
"77","176.8","764.6","116.1","224","1069","27","130"
"78","179.3","775.5","116.2","223","1067","27","130"
"79","181.8","786.4","115.5","227","1081","25","130"
"80","183.8","794.8","115.5","227","1081","25","130"
"81","186.3","805.9","116.1","224","1069","25","129"
"82","188.8","816.8","115.6","227","1079","26","129"
"83","190.8","825.3","115.6","227","1079","26","129"
"84","193.3","836.1","117.5","216","1042","26","129"
"85","195.3","844.6","117.5","216","1042","26","129"
"86","197.8","855.5","116.6","221","1059","26","129"
"87","200.3","866.5","115.7","226","1077","26","129"
"88","202.3","874.9","115.7","226","1077","26","129"
"89","204.8","885.8","116.4","222","1063","26","130"
"90","206.8","894.3","116.4","222","1063","26","130"
"91","209.3","905.0","116.4","222","1063","26","131"
"92","211.8","915.8","117.2","217","1048","26","131"
"93","213.8","924.3","117.2","217","1048","26","131"
"94","216.3","935.1","116.2","223","1067","25","132"
"95","218.8","945.8","116.7","220","1057","25","132"
"96","221.3","956.6","115.9","225","1073","26","132"
"97","223.3","965.0","115.9","225","1073","26","132"
"98","225.8","975.8","117.8","214","1036","25","132"
"99","228.3","986.6","116.5","221","1061","26","132"
"100","230.3","995.1","116.5","221","1061","26","132"
"101","232.8","1005.9","116.5","221","1061","26","132"
"102","235.3","1016.7","117.7","215","1038","25","132"
"103","237.3","1025.0","117.7","215","1038","25","132"
"104","239.8","1035.9","117.9","214","1034","26","132"
"105","242.3","1047.0","113.9","237","1115","26","133"
"106","244.3","1055.5","113.9","237","1115","26","133"
"107","246.8","1066.3","117.4","216","1044","26","133"
"108","249.3","1077.2","116.0","224","1071","26","133"
"109","251.3","1085.8","116.0","224","1071","26","133"
"110","253.8","1096.8","115.0","230","1092","26","134"
"111","256.2","1107.6","116.8","220","1055","25","134"
"112","258.3","1116.2","116.8","220","1055","25","134"
"113","260.7","1127.0","115.3","228","1085","26","134"
