"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.7","11.2","138.2","133","756","0","63"
"2","5.2","23.2","105.7","296","1320","29","64"
"3","7.2","32.6","105.7","296","1320","29","64"
"4","9.2","41.8","106.5","290","1297","28","64"
"5","11.7","53.3","111.0","256","1180","27","68"
"6","13.7","62.2","111.8","250","1161","28","74"
"7","15.7","71.1","111.8","250","1161","28","80"
"8","18.2","82.6","110.7","258","1187","27","87"
"9","20.2","91.5","110.7","258","1187","27","91"
"10","22.2","100.5","110.9","257","1183","28","94"
"11","24.7","111.9","111.8","250","1161","27","96"
"12","26.7","120.5","111.8","250","1161","27","97"
"13","29.2","131.6","114.9","231","1094","27","98"
"14","31.2","140.1","114.9","231","1094","27","98"
"15","33.7","150.9","117.9","214","1034","27","100"
"16","35.7","159.5","117.9","214","1034","27","101"
"17","37.7","168.2","114.9","231","1094","27","102"
"18","40.2","179.4","113.8","237","1117","27","104"
"19","42.2","188.0","114.3","234","1106","27","105"
"20","44.7","198.8","117.2","217","1048","28","106"
"21","46.7","207.4","117.2","217","1048","28","107"
"22","49.2","218.7","112.4","246","1148","27","107"
"23","51.2","227.3","112.4","246","1148","27","108"
"24","53.2","235.9","114.4","234","1104","27","109"
"25","55.7","246.8","115.4","228","1083","26","110"
"26","57.7","255.3","116.3","222","1065","26","111"
"27","60.2","266.1","117.2","217","1048","27","111"
"28","62.2","274.5","117.5","216","1042","26","112"
"29","64.7","285.2","117.5","216","1042","28","112"
"30","66.7","293.7","118.3","211","1027","26","113"
"31","69.2","304.5","117.6","215","1040","27","113"
"32","71.1","312.9","118.0","213","1033","27","114"
"33","73.7","323.7","118.0","213","1033","27","114"
"34","75.6","332.1","118.0","213","1033","27","114"
"35","77.7","340.7","117.9","214","1034","27","115"
"36","80.2","351.7","116.0","224","1071","27","115"
"37","82.2","360.0","116.0","224","1071","27","115"
"38","84.7","370.9","117.9","214","1034","27","116"
"39","86.7","379.5","116.7","220","1057","26","116"
"40","89.2","390.4","116.0","224","1071","27","117"
"41","91.2","399.0","116.0","224","1071","27","117"
"42","93.7","409.9","115.3","228","1085","27","118"
"43","95.7","418.4","115.3","228","1085","27","119"
"44","98.2","429.2","116.8","220","1055","26","119"
"45","100.2","437.8","117.1","218","1050","26","120"
"46","102.7","448.6","115.3","228","1085","27","120"
"47","105.2","459.6","115.9","225","1073","26","121"
"48","107.2","468.1","115.9","225","1073","26","121"
"49","109.7","479.1","114.4","234","1104","27","121"
"50","111.7","487.6","114.4","234","1104","27","122"
"51","114.2","498.5","116.8","220","1055","27","122"
"52","116.2","507.0","116.8","220","1055","27","122"
"53","118.7","517.8","116.2","223","1067","26","123"
"54","120.7","526.3","116.2","223","1067","26","123"
"55","123.2","537.2","117.0","219","1052","26","123"
"56","125.2","545.6","116.6","221","1059","26","123"
"57","127.7","556.4","116.6","221","1059","26","123"
"58","130.2","567.1","117.3","217","1046","25","124"
"59","132.2","575.7","117.3","217","1046","25","124"
"60","134.7","586.5","116.2","223","1067","27","124"
"61","136.7","594.9","117.3","217","1046","26","124"
"62","139.2","605.8","116.8","220","1055","26","124"
"63","141.7","616.6","116.6","221","1059","26","125"
"64","143.7","625.0","116.6","221","1059","26","125"
"65","145.7","633.5","117.3","217","1046","27","125"
"66","148.2","644.5","116.9","219","1054","27","125"
"67","150.7","655.3","118.1","212","1031","26","126"
"68","152.7","663.7","118.1","212","1031","26","126"
"69","155.2","674.3","118.1","212","1031","25","126"
"70","157.2","682.7","118.1","212","1031","25","126"
"71","159.7","693.7","117.8","214","1036","26","127"
"72","161.7","702.3","115.4","228","1083","26","128"
"73","164.2","712.9","115.7","226","1077","27","127"
"74","166.7","723.7","117.8","214","1036","26","127"
"75","168.6","732.0","117.8","214","1036","26","127"
"76","171.2","742.9","117.6","215","1040","26","127"
"77","173.2","751.3","117.6","215","1040","26","127"
"78","175.6","762.3","116.4","222","1063","26","127"
"79","177.7","770.8","115.3","228","1085","26","127"
"80","180.1","781.5","116.8","220","1055","26","127"
"81","182.7","792.4","116.3","222","1065","26","127"
"82","184.6","800.9","116.3","222","1065","26","127"
"83","187.2","811.7","115.5","227","1081","26","127"
"84","189.7","822.6","116.7","220","1057","26","128"
"85","191.6","831.1","116.7","220","1057","26","128"
"86","194.2","842.0","115.5","227","1081","26","128"
"87","196.7","852.9","116.6","221","1059","26","128"
"88","198.6","861.3","116.6","221","1059","26","128"
"89","201.1","872.2","116.2","223","1067","26","128"
"90","203.2","880.8","116.2","223","1067","26","128"
"91","205.6","891.6","115.4","228","1083","26","128"
"92","208.2","902.3","118.3","211","1027","27","128"
"93","210.1","910.6","118.3","211","1027","27","128"
"94","212.7","921.6","118.4","211","1025","26","128"
"95","215.2","932.4","117.1","218","1050","25","128"
"96","217.1","940.7","117.1","218","1050","25","127"
"97","219.7","951.4","118.4","211","1025","25","129"
"98","222.2","962.1","117.7","215","1038","25","129"
"99","224.7","972.7","118.6","210","1022","25","129"
"100","226.6","981.0","118.6","210","1022","25","129"
"101","229.1","991.8","118.2","212","1029","25","128"
"102","231.7","1002.9","115.0","230","1092","27","129"
"103","233.7","1011.5","115.0","230","1092","27","129"
"104","236.1","1022.2","115.3","228","1085","26","129"
"105","238.6","1033.0","117.4","216","1044","26","129"
"106","240.7","1041.6","117.4","216","1044","26","129"
"107","243.2","1052.6","115.2","229","1087","26","129"
"108","245.2","1061.1","115.2","229","1087","26","129"
"109","247.7","1072.0","116.7","220","1057","26","130"
"110","250.2","1082.8","116.2","223","1067","26","131"
"111","252.1","1091.4","116.2","223","1067","26","131"
"112","254.7","1102.4","114.9","231","1094","26","131"
"113","256.6","1110.9","115.6","227","1079","26","131"
"114","259.2","1122.0","115.2","229","1087","26","131"
"115","261.6","1132.8","116.6","221","1059","26","131"
"116","263.6","1141.3","116.6","221","1059","26","131"
"117","266.1","1152.1","117.1","218","1050","26","131"
"118","268.1","1160.7","117.1","218","1050","26","132"
"119","270.6","1171.8","114.5","233","1102","26","132"
"120","273.2","1182.7","116.6","221","1059","27","132"
"121","275.2","1191.1","116.6","221","1059","27","132"
"122","277.6","1202.0","115.5","227","1081","27","132"
"123","279.6","1210.6","115.5","227","1081","27","132"
"124","282.1","1221.5","115.5","227","1081","27","132"
"125","284.1","1230.0","115.5","227","1081","27","131"
"126","286.7","1240.7","116.6","221","1059","26","132"
"127","289.1","1251.7","114.7","232","1098","27","132"
"128","291.1","1260.2","114.7","232","1098","27","133"
"129","293.6","1271.0","117.5","216","1042","27","133"
"130","295.6","1279.4","117.5","216","1042","27","133"
"131","298.1","1290.5","114.5","233","1102","26","134"
"132","300.1","1298.9","114.5","233","1102","26","133"
"133","302.6","1309.9","116.7","220","1057","26","133"
"134","305.1","1320.9","114.8","231","1096","26","132"
"135","307.1","1329.4","114.8","231","1096","26","132"
"136","309.6","1340.3","116.0","224","1071","26","132"
"137","311.6","1348.8","115.6","227","1079","26","132"
"138","314.1","1359.8","116.5","221","1061","27","133"
"139","316.6","1370.8","115.3","228","1085","26","133"
"140","318.6","1379.4","115.3","228","1085","26","133"
"141","321.1","1390.4","115.4","228","1083","26","133"
"142","323.1","1398.9","115.4","228","1083","26","134"
"143","325.6","1410.0","115.5","227","1081","27","134"
"144","327.6","1418.6","114.6","233","1100","26","134"
"145","330.1","1429.6","115.8","225","1075","26","134"
"146","332.6","1440.4","116.8","220","1055","25","134"
"147","334.6","1449.0","116.8","220","1055","25","134"
"148","337.1","1460.0","115.2","229","1087","27","135"
"149","339.1","1468.6","115.2","229","1087","27","135"
"150","341.6","1479.5","115.9","225","1073","26","135"
"151","343.6","1488.1","115.9","225","1073","26","135"
"152","346.1","1499.1","115.5","227","1081","27","135"
"153","348.1","1507.5","115.5","227","1081","27","135"
