"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.0","12.2","147.3","110","676","0","61"
"2","5.0","21.0","115.5","227","1081","30","61"
"3","7.5","32.0","115.6","227","1079","27","61"
"4","9.5","40.9","112.5","246","1146","29","61"
"5","11.5","49.9","111.4","253","1171","29","61"
"6","13.5","58.9","111.4","253","1171","29","61"
"7","15.5","67.9","110.9","257","1183","28","61"
"8","18.0","79.3","111.3","254","1173","28","61"
"9","20.0","88.3","111.3","254","1173","28","65"
"10","22.0","97.1","111.3","254","1173","28","81"
"11","24.5","108.6","112.2","248","1152","29","91"
"12","26.5","117.4","112.6","245","1143","28","96"
"13","28.5","126.1","112.6","245","1143","28","96"
"14","30.5","134.8","114.5","233","1102","28","97"
"15","33.0","146.1","112.4","246","1148","28","97"
"16","35.0","155.0","112.4","246","1148","28","99"
"17","37.0","163.8","112.9","243","1137","29","99"
"18","39.0","172.6","112.9","243","1137","28","99"
"19","41.5","184.1","111.8","250","1161","29","100"
"20","43.5","193.0","111.7","251","1164","29","104"
"21","45.5","201.8","111.7","251","1164","29","106"
"22","47.5","210.5","113.1","242","1132","29","107"
"23","50.0","221.3","114.5","233","1102","27","110"
"24","52.0","229.7","117.4","216","1044","27","111"
"25","54.5","240.3","118.5","210","1023","26","113"
"26","57.0","251.1","117.2","217","1048","27","113"
"27","59.0","259.4","117.2","217","1048","27","112"
"28","61.5","269.9","120.8","199","983","27","112"
"29","63.5","278.2","120.8","199","983","27","112"
"30","66.0","288.9","119.0","208","1014","26","113"
"31","68.0","297.3","119.0","208","1014","26","114"
"32","70.5","307.8","118.4","211","1025","27","114"
"33","72.5","316.0","119.4","206","1007","26","114"
"34","75.0","326.7","120.2","202","993","26","115"
"35","77.5","337.5","117.6","215","1040","26","116"
"36","79.5","345.9","117.6","215","1040","26","116"
"37","82.0","356.5","118.7","209","1020","26","117"
"38","84.0","364.8","118.7","209","1020","26","117"
"39","86.5","375.4","119.6","205","1004","26","117"
"40","89.0","385.8","120.0","203","997","26","118"
"41","91.0","394.0","120.0","203","997","26","118"
"42","93.5","404.5","120.5","200","988","26","118"
"43","96.0","414.9","121.1","197","978","25","118"
"44","98.0","423.0","121.1","197","978","25","118"
"45","100.5","433.5","121.0","198","979","25","118"
"46","103.0","443.9","121.0","198","979","26","118"
"47","105.0","452.0","121.0","198","979","26","118"
"48","107.5","462.5","120.4","201","990","27","119"
"49","109.5","470.8","120.4","201","990","27","119"
"50","112.0","481.4","118.9","208","1016","26","119"
"51","114.5","491.9","120.4","201","990","26","119"
"52","116.5","500.1","120.4","201","990","26","119"
"53","119.0","510.7","119.7","204","1002","26","120"
"54","121.0","519.0","119.7","204","1002","26","120"
"55","123.5","529.5","119.6","205","1004","26","120"
"56","125.5","537.6","119.9","203","998","26","120"
"57","128.0","548.1","121.5","195","971","27","120"
"58","130.5","558.7","119.8","204","1000","26","119"
"59","132.5","566.8","119.8","204","1000","26","119"
"60","135.0","577.3","120.6","200","986","27","119"
"61","137.0","585.5","120.6","200","986","27","119"
"62","139.5","596.1","120.3","201","991","26","119"
"63","141.5","604.3","120.5","200","988","27","119"
"64","144.0","614.9","119.9","203","998","27","120"
"65","146.0","623.2","119.9","203","998","27","120"
"66","148.5","633.6","119.6","205","1004","26","120"
