"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.9","11.8","147.5","109","675","0","61"
"2","4.9","20.6","114.8","231","1096","29","61"
"3","7.4","31.9","112.5","246","1146","28","61"
"4","9.4","40.6","112.5","246","1146","28","61"
"5","11.4","49.2","114.5","233","1102","28","65"
"6","13.9","60.2","115.1","230","1089","28","69"
"7","15.9","69.1","115.1","230","1089","28","75"
"8","17.9","77.8","112.9","243","1137","28","82"
"9","20.4","88.9","115.1","230","1089","27","88"
"10","22.4","97.4","115.1","230","1089","27","91"
"11","24.9","108.5","114.7","232","1098","27","94"
"12","26.9","117.1","114.7","232","1098","27","95"
"13","28.9","125.6","116.1","224","1069","27","95"
"14","31.4","136.6","116.1","224","1069","27","96"
"15","33.4","145.2","115.4","228","1083","27","96"
"16","35.9","156.0","115.4","228","1083","27","97"
"17","37.9","164.5","116.8","220","1055","26","98"
"18","40.4","175.0","118.6","210","1022","27","100"
"19","42.9","185.9","117.1","218","1050","26","100"
"20","44.9","194.3","117.1","218","1050","26","101"
"21","47.4","204.9","118.5","210","1023","26","102"
"22","49.4","213.3","118.5","210","1023","26","103"
"23","51.9","223.8","118.7","209","1020","26","104"
"24","54.4","234.2","120.6","200","986","25","106"
"25","56.4","242.5","120.8","199","983","26","107"
"26","58.9","253.1","119.3","206","1009","27","109"
"27","60.9","261.6","119.3","206","1009","27","109"
"28","63.4","272.2","117.8","214","1036","26","110"
"29","65.4","280.4","119.0","208","1014","26","110"
"30","67.9","290.9","120.2","202","993","26","111"
"31","70.4","301.5","119.7","204","1002","26","112"
"32","72.4","309.9","119.7","204","1002","26","113"
"33","74.9","320.4","119.9","203","998","26","114"
"34","76.9","328.6","119.9","203","998","26","113"
"35","79.4","339.0","121.3","196","974","26","114"
"36","81.4","347.3","121.3","196","974","26","115"
"37","83.9","358.1","117.9","214","1034","27","115"
"38","85.9","366.3","117.9","214","1034","27","115"
"39","87.9","374.6","119.7","204","1002","27","115"
"40","90.4","385.2","119.9","203","998","27","115"
"41","92.4","393.6","119.4","206","1007","27","115"
"42","94.9","404.1","119.1","207","1013","26","117"
"43","97.4","414.6","119.9","203","998","25","118"
"44","99.9","425.1","120.1","202","995","25","118"
"45","101.9","433.4","120.1","202","995","25","119"
"46","104.4","444.0","119.8","204","1000","27","119"
"47","106.4","452.4","119.8","204","1000","27","119"
"48","108.9","463.0","119.0","208","1014","26","120"
"49","110.9","471.4","119.0","208","1014","26","120"
"50","113.4","482.0","119.3","206","1009","26","120"
"51","115.4","490.2","119.3","206","1009","26","121"
"52","117.9","500.7","120.1","202","995","26","121"
"53","119.9","509.1","120.2","202","993","26","122"
"54","122.4","519.8","118.7","209","1020","26","123"
"55","124.4","528.1","118.3","211","1027","27","123"
"56","126.9","538.9","118.3","211","1027","27","123"
"57","128.9","547.2","117.6","215","1040","27","123"
"58","131.4","557.7","120.2","202","993","27","123"
"59","133.4","566.1","120.2","202","993","27","123"
"60","135.4","574.6","118.7","209","1020","27","124"
"61","137.9","585.3","117.1","218","1050","27","124"
"62","139.9","593.6","118.8","209","1018","27","124"
"63","142.4","604.3","118.4","211","1025","28","125"
"64","144.4","612.9","118.4","211","1025","28","125"
"65","146.4","621.3","116.2","223","1067","27","125"
"66","148.9","632.1","117.9","214","1034","27","125"
"67","150.9","640.5","117.9","214","1034","27","126"
"68","153.4","651.1","119.7","204","1002","27","126"
"69","155.4","659.5","119.7","204","1002","27","126"
"70","157.4","667.9","119.5","205","1005","27","126"
"71","159.9","678.6","118.5","210","1023","27","127"
"72","161.9","687.0","118.5","210","1023","27","127"
"73","164.4","697.6","119.2","207","1011","27","128"
"74","166.4","706.0","119.2","207","1011","27","128"
"75","168.9","716.6","120.0","203","997","27","128"
"76","170.9","724.8","120.0","203","997","27","128"
"77","172.9","733.3","119.7","204","1002","27","128"
"78","175.4","743.9","118.1","212","1031","27","127"
"79","177.4","752.3","119.1","207","1013","27","128"
"80","179.9","763.0","118.7","209","1020","27","128"
"81","181.9","771.4","118.3","211","1027","27","128"
"82","184.4","782.2","117.4","216","1044","26","128"
"83","186.9","792.8","118.7","209","1020","26","128"
"84","188.9","801.2","118.7","209","1020","26","128"
"85","191.4","812.0","118.0","213","1033","27","129"
"86","193.4","820.5","118.0","213","1033","27","129"
"87","195.4","828.9","117.7","215","1038","27","129"
"88","197.9","839.6","119.1","207","1013","27","129"
"89","199.9","848.1","119.1","207","1013","27","129"
"90","201.9","856.5","117.1","218","1050","29","129"
"91","204.4","867.4","117.2","217","1048","27","130"
"92","206.4","875.9","117.2","217","1048","27","130"
"93","208.4","884.3","117.3","217","1046","28","130"
"94","210.9","894.9","120.0","203","997","27","131"
"95","212.9","903.1","120.0","203","997","27","131"
"96","215.4","913.8","118.5","210","1023","27","132"
"97","217.4","922.3","118.5","210","1023","27","131"
"98","219.9","932.8","119.8","204","1000","26","131"
"99","222.4","943.4","119.6","205","1004","25","131"
"100","224.4","951.5","119.6","205","1004","25","131"
"101","226.9","962.3","119.9","203","998","25","131"
"102","229.4","972.8","117.8","214","1036","25","131"
"103","231.9","983.4","119.9","203","998","25","131"
"104","233.9","991.6","119.9","203","998","25","130"
"105","236.4","1002.2","118.9","208","1016","25","130"
"106","238.9","1012.8","120.1","202","995","26","130"
"107","240.9","1021.1","120.1","202","995","26","130"
"108","243.4","1031.7","119.6","205","1004","26","131"
"109","245.4","1039.8","119.6","205","1004","26","131"
"110","247.9","1050.4","121.0","198","979","26","131"
"111","250.4","1061.3","116.3","222","1065","26","131"
"112","252.4","1069.6","116.3","222","1065","26","131"
"113","254.9","1080.2","118.6","210","1022","25","131"
"114","257.4","1091.0","117.3","217","1046","26","131"
"115","259.4","1099.3","117.3","217","1046","26","131"
"116","261.9","1109.9","119.1","207","1013","25","132"
"117","264.4","1120.5","118.7","209","1020","25","132"
"118","266.9","1131.1","119.2","207","1011","26","132"
"119","268.9","1139.3","119.2","207","1011","26","132"
"120","271.4","1150.1","118.1","212","1031","26","131"
"121","273.4","1158.6","118.1","212","1031","26","131"
"122","275.9","1169.2","116.5","221","1061","27","131"
"123","277.9","1177.5","118.7","209","1020","26","131"
"124","280.4","1188.4","118.8","209","1018","26","132"
"125","282.4","1196.9","116.8","220","1055","27","132"
"126","284.9","1207.9","116.1","224","1069","28","132"
"127","286.9","1216.5","116.1","224","1069","28","132"
"128","288.9","1225.0","115.9","225","1073","28","133"
"129","291.4","1236.0","115.8","225","1075","28","133"
"130","293.4","1244.6","115.8","225","1075","28","133"
"131","295.4","1252.8","117.3","217","1046","29","134"
"132","297.4","1261.1","120.1","202","995","28","133"
"133","299.9","1271.9","119.2","207","1011","28","133"
"134","301.9","1280.3","119.2","207","1011","28","134"
"135","303.9","1288.5","118.4","211","1025","29","134"
"136","306.4","1299.0","121.3","196","974","27","134"
"137","308.4","1307.4","119.7","204","1002","27","134"
"138","310.9","1317.8","119.1","207","1013","27","134"
"139","312.9","1325.9","121.6","195","969","26","134"
"140","315.4","1336.3","122.2","192","960","27","134"
"141","317.9","1346.6","121.9","193","964","26","135"
"142","319.9","1354.9","121.9","193","964","26","135"
"143","322.4","1365.2","120.2","202","993","26","135"
"144","324.9","1375.4","121.8","194","966","25","135"
"145","327.4","1385.6","122.9","189","948","25","135"
"146","329.4","1393.8","122.9","189","948","25","135"
"147","331.9","1404.3","121.1","197","978","25","134"
"148","334.4","1414.6","122.0","193","963","26","134"
"149","336.4","1422.6","122.0","193","963","26","134"
"150","338.9","1432.9","123.5","186","939","26","134"
"151","341.4","1443.2","122.1","192","961","26","133"
"152","343.4","1451.3","122.1","192","961","26","133"
"153","345.9","1461.6","122.3","191","958","26","133"
"154","348.4","1471.8","123.7","185","936","26","134"
"155","350.4","1479.9","123.7","185","936","26","134"
"156","352.4","1488.0","123.1","188","945","27","134"
"157","354.9","1498.2","123.4","186","941","27","134"
"158","357.4","1508.4","123.3","187","942","26","134"
"159","359.4","1516.7","123.3","187","942","26","134"
"160","361.9","1527.7","118.8","209","1018","26","134"
"161","363.9","1536.1","115.8","225","1075","26","134"
"162","366.4","1546.5","118.5","210","1023","27","134"
"163","368.4","1554.7","121.1","197","978","27","134"
"164","370.9","1565.3","120.7","199","985","27","134"
"165","373.4","1575.8","120.6","200","986","26","134"
"166","375.4","1584.0","120.6","200","986","26","134"
"167","377.9","1594.6","119.5","205","1005","27","135"
"168","379.9","1602.7","119.5","205","1005","27","135"
"169","382.4","1613.2","120.5","200","988","26","135"
"170","384.9","1623.6","121.2","197","976","25","134"
"171","386.9","1631.9","121.2","197","976","25","134"
"172","389.4","1642.4","119.9","203","998","26","134"
"173","391.4","1650.6","120.2","202","993","26","134"
"174","393.9","1661.1","120.1","202","995","26","134"
"175","396.4","1671.3","123.2","187","944","26","133"
"176","398.4","1679.4","123.2","187","944","26","133"
"177","400.9","1690.1","122.1","192","961","26","134"
"178","402.9","1698.4","119.2","207","1011","27","134"
"179","405.4","1709.1","118.5","210","1023","26","134"
"180","407.9","1719.6","119.7","204","1002","26","134"
"181","409.9","1727.9","119.7","204","1002","26","134"
"182","412.4","1738.4","119.9","203","998","26","134"
"183","414.4","1746.7","119.9","203","998","27","134"
"184","416.9","1757.3","119.1","207","1013","26","135"
"185","418.9","1765.5","120.0","203","997","27","135"
"186","421.4","1776.2","119.7","204","1002","26","135"
"187","423.9","1786.7","121.3","196","974","26","135"
"188","425.9","1794.8","121.3","196","974","26","135"
"189","428.4","1805.5","120.8","199","983","26","135"
"190","430.4","1813.8","118.6","210","1022","26","135"
"191","432.9","1824.3","119.4","206","1007","26","135"
"192","435.4","1834.7","120.3","201","991","26","135"
"193","437.4","1842.9","120.3","201","991","26","135"
"194","439.9","1853.3","122.7","189","952","27","135"
"195","441.9","1861.3","122.7","189","952","27","135"
"196","443.9","1869.9","122.9","189","948","27","135"
"197","446.4","1881.1","113.9","237","1115","29","135"
"198","448.4","1889.8","114.1","236","1110","30","135"
"199","450.4","1898.6","114.1","236","1110","30","136"
"200","452.4","1907.1","113.4","240","1126","28","136"
"201","454.4","1915.6","117.5","216","1042","28","136"
"202","456.9","1926.3","119.1","207","1013","28","136"
"203","458.9","1934.6","119.1","207","1013","28","137"
"204","461.4","1945.3","118.4","211","1025","27","137"
"205","463.4","1953.9","118.4","211","1025","27","138"
"206","465.9","1964.4","120.2","202","993","26","138"
"207","467.9","1972.4","120.2","202","993","26","138"
"208","470.4","1982.9","121.2","197","976","26","137"
"209","472.4","1991.3","121.2","197","976","26","137"
"210","474.4","1999.6","118.6","210","1022","27","138"
"211","477.8","2021.0","325.6","10","334","27","95"
"212","480.3","2026.0","325.6","10","334","27","95"
"213","482.8","2032.2","252.7","22","374","27","94"
