"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","1.1","3.8","153.8","96","631","0","72"
"2","3.1","12.2","119.7","204","1002","30","72"
"3","5.1","20.9","119.7","204","1002","30","72"
"4","7.6","32.1","113.3","241","1128","27","73"
"5","9.6","40.8","114.9","231","1094","28","77"
"6","11.6","49.4","114.9","231","1094","28","80"
"7","14.1","60.3","115.1","230","1089","27","83"
"8","16.1","68.8","116.7","220","1057","26","88"
"9","18.6","79.7","116.1","224","1069","27","94"
"10","20.6","88.3","115.8","225","1075","26","98"
"11","23.1","99.1","115.7","226","1077","27","101"
"12","25.6","110.1","115.9","225","1073","26","102"
"13","28.1","120.9","116.1","224","1069","25","102"
"14","30.1","129.4","116.1","224","1069","25","102"
"15","32.6","140.4","115.5","227","1081","27","103"
"16","34.6","148.9","115.5","227","1081","27","103"
"17","37.1","159.9","116.1","224","1069","27","104"
"18","39.1","168.4","116.1","224","1069","27","105"
"19","41.6","179.2","116.6","221","1059","26","106"
"20","44.1","189.9","116.9","219","1054","26","108"
"21","46.6","200.6","118.4","211","1025","25","109"
"22","48.6","208.9","118.4","211","1025","25","110"
"23","51.1","219.5","118.7","209","1020","25","110"
"24","53.6","230.3","118.2","212","1029","26","110"
"25","56.1","240.7","119.6","205","1004","25","112"
"26","58.1","249.0","119.6","205","1004","25","112"
"27","60.6","259.8","117.4","216","1044","26","113"
"28","62.6","268.2","117.4","216","1044","26","113"
"29","65.1","278.9","118.3","211","1027","26","114"
"30","67.6","289.5","119.2","207","1011","25","115"
"31","69.6","297.9","119.2","207","1011","25","115"
"32","72.1","308.6","117.4","216","1044","25","115"
"33","74.6","319.3","117.6","215","1040","25","116"
"34","77.1","330.1","117.3","217","1046","25","116"
"35","79.6","340.9","116.7","220","1057","24","117"
"36","82.1","351.6","116.8","220","1055","25","118"
"37","84.6","362.3","117.8","214","1036","24","119"
"38","86.6","370.6","117.8","214","1036","24","119"
"39","89.1","381.3","118.5","210","1023","25","119"
"40","91.6","392.0","117.2","217","1048","26","120"
"41","94.1","402.8","117.6","215","1040","26","120"
"42","96.1","411.0","117.6","215","1040","26","121"
"43","98.6","421.7","118.9","208","1016","24","122"
"44","101.1","432.3","118.3","211","1027","25","123"
"45","103.6","443.1","117.4","216","1044","26","124"
"46","106.1","453.8","117.6","215","1040","25","124"
"47","108.1","462.1","117.6","215","1040","25","124"
"48","110.6","472.9","117.0","219","1052","25","125"
"49","113.1","483.7","116.8","220","1055","25","125"
"50","115.6","494.4","117.3","217","1046","25","125"
"51","118.1","505.1","117.1","218","1050","24","126"
"52","120.6","515.7","118.7","209","1020","25","126"
"53","122.6","524.0","118.7","209","1020","25","126"
"54","125.1","534.6","118.8","209","1018","25","126"
"55","127.6","545.2","118.3","211","1027","25","126"
"56","130.1","555.8","118.5","210","1023","25","126"
"57","132.6","566.4","119.1","207","1013","24","126"
"58","135.1","577.0","118.4","211","1025","24","127"
"59","137.6","587.6","118.6","210","1022","23","127"
"60","140.1","598.3","118.2","212","1029","25","128"
"61","142.6","608.9","118.3","211","1027","24","128"
"62","144.6","617.2","118.3","211","1027","24","128"
"63","147.1","627.8","118.3","211","1027","25","129"
"64","149.6","638.4","118.8","209","1018","25","129"
"65","152.1","649.0","118.6","210","1022","25","129"
"66","154.6","659.7","118.4","211","1025","24","129"
"67","157.1","670.5","117.7","215","1038","25","129"
"68","159.1","678.9","117.7","215","1038","25","129"
"69","161.6","689.6","116.8","220","1055","25","129"
"70","164.1","700.4","117.3","217","1046","25","129"
"71","166.6","710.9","117.7","215","1038","25","129"
"72","169.1","721.4","118.8","209","1018","24","129"
"73","171.6","732.1","119.5","205","1005","24","130"
"74","174.1","742.4","118.2","212","1029","25","129"
"75","176.6","752.8","121.1","197","978","23","129"
"76","179.1","763.2","120.2","202","993","24","129"
"77","182.1","776.0","119.9","203","998","23","129"
"78","184.1","784.3","119.9","203","998","23","129"
"79","186.6","794.8","118.6","210","1022","26","128"
"80","189.1","805.4","119.2","207","1011","25","128"
"81","191.6","816.1","118.3","211","1027","25","128"
"82","193.6","824.5","118.3","211","1027","25","128"
"83","196.6","837.4","118.6","210","1022","24","129"
"84","199.1","848.1","117.9","214","1034","23","129"
"85","201.6","858.6","118.0","213","1033","24","129"
"86","204.1","869.1","119.1","207","1013","24","130"
"87","206.6","879.8","118.8","209","1018","25","130"
"88","208.6","888.2","118.8","209","1018","25","131"
"89","211.1","898.9","117.6","215","1040","25","131"
"90","213.6","909.5","117.3","217","1046","25","131"
"91","216.1","920.2","118.1","212","1031","25","131"
"92","218.6","930.8","117.6","215","1040","24","131"
"93","221.1","941.6","117.2","217","1048","25","132"
"94","223.1","950.0","117.2","217","1048","25","132"
"95","225.6","960.6","117.1","218","1050","25","132"
"96","228.1","971.5","117.3","217","1046","24","132"
"97","230.6","982.4","116.0","224","1071","24","133"
"98","233.1","993.3","115.2","229","1087","25","133"
"99","235.6","1004.1","116.1","224","1069","24","133"
"100","238.1","1014.8","117.5","216","1042","25","133"
"101","240.6","1025.6","116.3","222","1065","25","133"
"102","243.1","1036.4","116.2","223","1067","24","133"
"103","245.1","1044.7","116.2","223","1067","24","133"
"104","247.6","1055.4","117.5","216","1042","25","133"
"105","250.1","1065.9","117.8","214","1036","24","133"
"106","252.6","1076.4","119.2","207","1011","24","133"
"107","255.1","1086.9","119.5","205","1005","24","133"
"108","257.6","1097.4","120.5","200","988","24","133"
"109","260.1","1107.8","119.0","208","1014","25","133"
"110","262.6","1118.7","119.9","203","998","23","133"
"111","265.1","1129.5","116.2","223","1067","25","133"
"112","267.6","1140.2","117.3","217","1046","25","133"
"113","269.6","1148.6","117.3","217","1046","25","133"
"114","272.1","1159.4","117.0","219","1052","26","133"
"115","274.6","1170.0","117.7","215","1038","26","133"
"116","277.1","1180.7","117.9","214","1034","25","133"
"117","279.1","1189.1","117.9","214","1034","25","133"
"118","281.6","1199.7","117.5","216","1042","26","133"
"119","284.1","1210.5","118.0","213","1033","25","133"
"120","286.6","1221.2","117.8","214","1036","25","133"
"121","289.1","1231.7","119.4","206","1007","25","133"
"122","291.1","1239.9","119.4","206","1007","25","134"
"123","293.6","1250.3","120.6","200","986","25","133"
"124","296.1","1261.0","120.9","198","981","24","133"
"125","298.6","1271.8","116.8","220","1055","26","134"
"126","300.6","1280.2","116.8","220","1055","26","133"
"127","303.1","1291.1","117.4","216","1044","26","134"
"128","305.6","1302.0","116.2","223","1067","26","134"
"129","307.6","1310.4","116.2","223","1067","26","134"
"130","310.1","1321.0","117.5","216","1042","25","134"
"131","312.6","1331.8","116.8","220","1055","25","135"
"132","315.1","1342.6","116.3","222","1065","25","135"
"133","317.1","1351.1","116.3","222","1065","25","135"
"134","319.6","1361.9","116.1","224","1069","25","135"
"135","322.1","1372.5","117.1","218","1050","25","135"
"136","324.6","1383.0","119.1","207","1013","25","135"
"137","327.1","1393.7","119.0","208","1014","25","135"
"138","329.6","1404.4","116.6","221","1059","24","134"
"139","331.6","1413.1","116.6","221","1059","24","134"
"140","334.1","1424.2","114.3","234","1106","27","135"
"141","336.1","1432.7","114.3","234","1106","27","135"
"142","338.6","1443.5","116.8","220","1055","26","136"
"143","340.6","1451.9","116.8","220","1055","26","136"
"144","343.1","1462.8","117.5","216","1042","26","136"
"145","345.1","1471.3","115.9","225","1073","26","136"
"146","347.6","1481.9","117.1","218","1050","26","136"
"147","350.1","1492.4","118.3","211","1027","25","137"
"148","352.1","1500.4","120.6","200","986","26","137"
"149","354.6","1510.4","125.6","177","907","27","137"
"150","357.1","1520.8","121.6","195","969","25","137"
"151","359.1","1528.8","121.6","195","969","25","137"
"152","361.6","1538.8","122.5","190","955","25","136"
"153","364.1","1548.9","125.4","177","910","24","136"
"154","366.6","1558.9","124.7","180","921","26","137"
"155","369.1","1568.9","126.0","175","902","26","136"
"156","371.6","1579.1","122.7","189","952","25","135"
"157","373.6","1586.9","122.7","189","952","25","135"
"158","376.1","1596.9","125.8","176","905","24","135"
"159","378.6","1606.8","126.5","173","895","25","136"
"160","381.1","1616.8","127.0","171","888","25","135"
"161","383.6","1626.7","127.2","170","885","25","135"
"162","386.1","1636.6","127.0","171","888","25","135"
"163","388.6","1646.5","127.2","170","885","25","135"
"164","390.6","1654.4","127.2","170","885","25","135"
"165","393.1","1664.5","125.1","179","915","25","135"
"166","395.6","1674.8","123.2","187","944","25","135"
"167","397.6","1682.9","123.2","187","944","25","134"
"168","400.1","1692.9","121.7","194","968","26","134"
"169","402.6","1702.9","126.2","174","899","25","135"
"170","405.1","1712.9","125.8","176","905","25","134"
"171","407.1","1720.7","125.8","176","905","25","134"
"172","409.6","1730.8","125.9","175","903","25","134"
"173","412.1","1741.0","124.3","182","927","25","135"
"174","414.6","1751.3","122.4","191","956","25","134"
"175","417.1","1761.6","122.5","190","955","25","134"
"176","419.1","1769.5","122.5","190","955","25","134"
"177","421.6","1779.7","123.9","184","933","25","135"
"178","424.1","1789.8","123.3","187","942","25","134"
"179","426.6","1800.1","123.3","187","942","26","134"
"180","428.6","1808.3","123.3","187","942","26","134"
"181","431.1","1818.8","119.0","208","1014","26","134"
"182","433.6","1829.3","120.9","198","981","26","134"
"183","435.6","1837.6","120.9","198","981","26","134"
"184","438.1","1848.3","118.4","211","1025","27","135"
"185","440.1","1856.7","118.4","211","1025","27","135"
"186","442.6","1867.4","117.9","214","1034","27","135"
"187","444.6","1875.8","117.9","214","1034","27","135"
"188","447.1","1886.5","118.4","211","1025","27","135"
"189","449.1","1894.9","118.4","211","1025","27","135"
"190","451.6","1905.4","117.3","217","1046","26","136"
"191","453.6","1913.7","120.9","198","981","26","136"
"192","456.1","1924.2","118.5","210","1023","26","136"
"193","458.6","1934.7","120.9","198","981","26","136"
"194","461.1","1945.1","121.5","195","971","25","136"
"195","463.1","1953.2","121.5","195","971","25","136"
"196","465.6","1964.1","117.5","216","1042","27","136"
"197","467.6","1972.4","117.5","216","1042","27","136"
"198","470.1","1983.1","118.4","211","1025","27","136"
"199","472.1","1991.7","118.4","211","1025","27","136"
"200","476.4","2002.3","118.9","208","1016","27","136"
"201","477.5","2023.5","288.6","15","350","27","102"
"202","479.6","2028.3","288.6","15","350","27","101"
"203","482.1","2035.6","172.9","68","533","27","96"
"204","484.1","2041.8","172.9","68","533","27","93"
"205","486.6","2050.1","157.9","89","605","27","93"
"206","489.0","2058.9","143.5","118","707","27","97"
"207","491.0","2065.9","143.5","118","707","27","99"
"208","0.8","4.2","117.8","214","1036","0","101"
"209","2.8","13.0","117.8","214","1036","0","101"
"210","4.8","21.7","114.2","235","1108","28","101"
"211","6.8","30.4","114.2","235","1108","28","102"
"212","9.3","41.4","114.5","233","1102","28","102"
"213","11.3","49.9","115.9","225","1073","28","105"
"214","13.8","60.8","115.9","225","1073","27","109"
"215","15.8","69.3","116.4","222","1063","26","112"
"216","18.3","80.0","116.4","222","1063","26","114"
"217","20.8","90.8","117.3","217","1046","26","114"
"218","22.8","99.3","117.3","217","1046","26","114"
"219","25.3","110.3","115.0","230","1092","27","114"
"220","27.3","118.8","115.0","230","1092","27","115"
"221","29.8","129.8","115.6","227","1079","27","116"
"222","31.8","138.3","115.6","227","1079","27","118"
"223","33.8","146.9","115.8","225","1075","26","119"
"224","36.3","157.8","115.9","225","1073","27","120"
"225","38.8","168.7","115.8","225","1075","26","122"
"226","40.8","177.2","115.8","225","1075","26","123"
"227","43.3","188.2","114.6","233","1100","26","124"
"228","45.3","196.8","114.6","233","1100","26","125"
"229","47.8","207.8","116.2","223","1067","27","126"
"230","49.8","216.3","116.2","223","1067","27","127"
"231","52.3","227.2","116.3","222","1065","27","128"
"232","54.3","235.5","116.3","222","1065","27","128"
"233","56.8","246.3","117.9","214","1034","26","129"
"234","58.8","254.8","117.6","215","1040","27","130"
"235","61.3","265.5","117.1","218","1050","26","130"
"236","63.8","276.4","117.1","218","1050","26","130"
"237","65.8","284.8","117.1","218","1050","26","130"
"238","68.3","295.6","117.7","215","1038","27","130"
"239","70.3","304.0","117.7","215","1038","27","130"
